ticker,title
KXATLCOACH,Next Atlanta Coach
KXATP,Men's Tournament Winner
KXATP1RANK,ATP #1 Ranked Player
KXATPAMT,ATP Tour Abierto Mexican Telcel presentado por HSBC
KXATPANYSET,ATP Any Set Winner
KXATPCHALLENGERMATCH,Challenger ATP 
KXATPDOUBLES,ATP Doubles Tennis Match
KXATPEXACTMATCH,ATP Exact Match Score
KXATPEXACTSETS,testing
KXATPFINALS,ATP Finals Winner
KXATPGAME,ATP Tennis Winner
KXATPGAMESPREAD,ATP Game Spread
KXATPGAMETOTAL,ATP Total Games
KXATPGRANDSLAM,ATP Grand Slam
KXATPGRANDSLAMFIELD,ATP Grand Slam Field Winner
KXATPGSPREAD,ATO Game Spread
KXATPGTOTAL,ATP Total Games
KXATPIT,ATP Italian Open
KXATPIWO,Indian Wells Open
KXATPMAD,ATP Madrid
KXATPMATCH,ATP Tennis Match
KXATPMC,ATP Monte Carlo
KXATPMCO,Movistar Chile Open
KXATPMEN,Mens ATP Tournament Winner
KXATPMIA,ATP Miami
KXATPNEXTGEN,ATP Next Gen Finals
KXATPRANK,ATP #1 Ranked Player
KXATPRETURN,ATP Player to Return by Date
KXATPSETSWEEP,Winner without dropping a set
KXATPSETWINNER,ATP Set Winner
KXATPTOTALSETS,ATP Total Sets
KXATPWDDF,ATP Tour Dubai Duty Free
KXAUBCOACH,Auburn Next Coach
KXAUSTINMAJOR,Rennsport at 2025 Esports World Cup
KXBALGAME,Basketball Africa League Game
KXBALLERLEAGUEGAME,Baller League Game
KXBALLONDOR,Ballon d'Or
KXBALLONDORNATION,Ballon d'Or nationality
KXBATTLEOFSEXES,Battle of the Sexes Tennis Match
KXBATTLEOFSEXESSET,Battle of the Sexes Set Winner
KXBBLGAME,Bundesliga Basketball Game
KXBBSERIEAGAME,Italy Serie A Basketball Game
KXBEASTGAMES,Beast Games: Strong vs. Smart Winner
KXBELGIANPL,Belgian Pro League Champion
KXBELGIANPLGAME,Belgian Pro League Game
KXBELICHICKUNC,Will Bill Belichick coach a UNC game
KXBIG10REG,Big Ten Regular Season Champions
KXBIG12REG,Big 12 Regular Season Champions
KXBIGEASTREG,Big East Regular Season Champions
KXBLASTRIVALS2,BLAST Rivals 2025 Season 2
KXBOLPDIVGAME,Bolivia Premier Division Game
KXBOUNTY2025S2,Bounty 2025 Season 2
KXBOXING,Boxing Match Champion
KXBOXING1MIN,Boxing 1 Minute Fight
KXBOXINGDISTANCE,Boxing To Go The Distance
KXBOXINGFIGHT,Boxing fight winner
KXBOXINGKNOCKOUT,Boxing Knockout
KXBOXINGMOV,Boxing Method of Victory
KXBOXINGROUNDS,Boxing Total Rounds
KXBOXINGVICROUND,Boxing Victory in Round
KXBRAD100MRUN,Brad Kraut 100 Mile Challenge
KXBRASILEIRO,Brasileiro Winner
KXBRASILEIROGAME,Brasileiro Serie A Game
KXBRASILEIRORELEGATION,Brasileiro Relegation
KXBRASILEIROSPREAD,Brasileiro Serie A Game
KXBRASILEIROTOP,Brasileiro Serie A
KXBRASILEIROTOPX,Brasileiro Top X
KXBRASILEIROTOTAL,Brasileiro Total
KXBRAWLSTARS,Brawl Stars Tournament Winner
KXBRYSONCOURSERECORDS,Bryson Course Records
KXBSLGAME,Turkey BSL Game
KXBSOUTOURNAMENT,Big South Tournament
KXBUNDESLIGA,BUNDESLIGA
KXBUNDESLIGA1H,Bundesliga First Half Winner
KXBUNDESLIGA1HBTTS,1st Half BTTS
KXBUNDESLIGA1HSPREAD,1st Half Spread
KXBUNDESLIGA1HTOTAL,1st Half Total
KXBUNDESLIGA2GAME,Bundesliga 2 Game
KXBUNDESLIGABTTS,Bundesliga BTTS
KXBUNDESLIGAGAME,Bundesliga Game
KXBUNDESLIGARELEGATION,Bundesliga Relegation
KXBUNDESLIGASPREAD,Bundesliga Spread
KXBUNDESLIGATOP4,Bundesliga Top 4 Finishers
KXBUNDESLIGATOTAL,Bundesliga Total
KXCAATOURNAMENT,CAA Tournament
KXCALCFO,Will Carlos Alcaraz play in French Open
KXCALCOACH,California Next Coach
KXCANADACUP,Canada winning Stanley Cup
KXCANPLGAME,Canadian Premier League
KXCARDPRESENCEUFCWH,UFC White House event
KXCBAGAME,Chinese Basketball Association Game 
KXCBASPREAD,Chinese Basketball Association Spread 
KXCBATOTAL,Chinese Basketball Association Total 
KXCCARCOACH,Coastal Carolina Next Coach
KXCFBCOTY,College Football Coach of the Year
KXCFBDOBRIEN,Davey O'Brien Award
KXCFPSEED,College Football Playoff Seed
KXCHALLENGERMATCH,Challenger ATP 
KXCHAMPTOUR,PGA Champions Tour
KXCHARCOUNTLOLWORLDS,LOL worlds
KXCHESS,Chess Tournament Winner
KXCHESSCANDIDATES,Chess Candidates Champion
KXCHESSFIDERATING,Chess Fide Rating (by Month)
KXCHESSFIDERATINGTOP,Fide Chess Rating Top Ranked Players
KXCHESSGAME,Freestyle Chess
KXCHESSGRANDTOUR,Grand Chess Tour
KXCHESSGRENKECLASSIC,Grenke Chess Classic
KXCHESSGRENKEOPEN,Grenke Chess Open
KXCHESSMATCH,Chess Match
KXCHESSNORWAY,Norway Chess Tournament
KXCHESSOLYMPIAD,Chess Olympiad Winner
KXCHESSOLYMPIADUSA,USA Team for Chess Olympiad
KXCHESSPOLAND,Grand Chess Tour: Super Rapid & Blitz Poland
KXCHESSSINQUEFIELD,sinquefield chess winner
KXCHESSTTEARLY,Chess Titled Tuesday Early
KXCHESSTTLATE,Chess Titled Tuesday Late
KXCHESSWORLDCHAMPION,World Chess Champion
KXCHLLDP,Chilean Primer Division
KXCHLLDPGAME,Chile Liga de Primera Game
KXCHNSL,Chinese Super League
KXCHNSLGAME,Chinese Super League Game
KXCHOVYMVP,Will Chovy be the MVP of the Worlds finals
KXCHOVYMVPBP,Will Chovy be the MVP of the Worlds finals
KXCHOVYMVPWF,Will Chovy be the MVP of the Worlds finals
KXCHRISTMASHORNETS,Christmas Hornets
KXCITYMLBEXPAND,MLB expansion
KXCITYNBAEXPAND,Cities NBA expand
KXCLIMBING,Climbing Winner
KXCLUBCHANGEMBAPPE,Club Change Mbappe
KXCLUBWC,Club World Cup Championship
KXCLUBWCGA,Club World Club Group A
KXCLUBWCGAME,Club World Club Game
KXCLUBWCGB,Club World Club Group B
KXCLUBWCGC,Club World Club Group C
KXCLUBWCGD,Club World Club Group D
KXCLUBWCGE,Club World Club Group E
KXCLUBWCGF,Club World Club Group F
KXCLUBWCGG,Club World Club Group G
KXCLUBWCGH,Club World Club Group H
KXCOACHONDATE,coach on date
KXCOACHOUTAUB,HUGH FREEZE OUT 2026
KXCOACHOUTDALSTARS,Chris Koclanes out
KXCOACHOUTDALWINGS,Chris Koclanes out
KXCOACHOUTMLB,Baseball Managers Out
KXCOACHOUTMLBDATE,MLB Coach Out Date
KXCOACHOUTMSU,Jonathan Smith Out
KXCOACHOUTNBA,NBA Coach Out
KXCOACHOUTNBADATE,NBA Coach Out Date
KXCOACHOUTNCAAFB,NCAAFB Coaches Out
KXCOACHOUTNFL,NFL Coach Out
KXCOACHOUTNFLFIRST,First NFL Coach Out
KXCOACHOUTOLEMISS,Coach Out Ole Miss
KXCOACHOUTUNC,Bill Belichick Out
KXCOD,COD Tournament Winner
KXCODGAME,Call of Duty Games
KXCODMAP,COD Map Winner
KXCODTOTALMAPS,COD Maps
KXCOLLEGEGAMEDAYGUEST,College Gameday Guest
KXCONCACAFCCUPGAME,CONCACAF Champions Cup Game
KXCONMEBOLLIBGAME,CONMEBOL Libertadores Game
KXCONMEBOLSUDGAME,CONMEBOL Sudamericana Game
KXCONNCOACH,UConn Next Coach
KXCONNSMYTHE,Conn Smythe trophy
KXCOPADELREY,Copa del Rey Winner
KXCOPADELREYADVANCE,Copa Del Rey To Advance
KXCOPADELREYGAME,Copa Del Rey Game
KXCOPADELREYSPREAD,Copa Del Rey Spread
KXCOPADELREYTOTAL,Copa del Rey Total
KXCOPADOBRASILGAME,Copa do Brasil Game
KXCOPADOBRASILSPREAD,Copa do Brasil Spread
KXCOPADOBRASILTOTAL,Copa do Brasil Total
KXCOPPAITALIA,Coppa Italia Winner
KXCOPPAITALIAADVANCE,Coppa Italia To Advance
KXCOPPAITALIAGAME,Coppa Italia Game
KXCOPPAITALIASPREAD,Copa Italia Spread
KXCOPPAITALIATOTAL,Coppa Italia Total
KXCOUNTYCHAMPMATCH,County Championship Cricket Match
KXCOUPEDEFRANCEADVANCE,Coupe de France To Advance
KXCOUPEDEFRANCEGAME,Coupe de France Game
KXCOUPEDEFRANCESPREAD,Coupe de France Spread
KXCOUPEDEFRANCETOTAL,Coupe de France Total
KXCRICKETODIMATCH,Cricket ODI Match
KXCRICKETT20IMATCH,Cricket T20I Match
KXCRICKETTESTMATCH,Cricket Test Match
KXCRICKETWOMENODIMATCH,Cricket Women ODI Match
KXCRICKETWOMENT20IMATCH,Cricket Women T20I Match
KXCRICKETWOMENTESTMATCH,Cricket Women Test Match
KXCROSSFIRE,Crossfire Tournament Winner
KXCRYPTOFIGHTNIGHT,Crypto Fight Night
KXCS2,CS2 Tournament Winner
KXCS2GAME,Counter-Strike 2 Game
KXCS2GAMES,Cs2 Games
KXCS2IEMCOLOGNE,CS2: IEM Cologne
KXCS2MAP,Counter-Strike 2 Map Winner 
KXCS2MAPWINNER,CS2 Map Winner
KXCS2QUALIFIER,CS2 Qualifier
KXCS2QUALIFIERS,CS2 Qualifier
KXCS2QUALIFY,CS2 Qualifier
KXCS2TOTALMAPS,CS2 Total Maps
KXCSGO,CSGO
KXCSGOADVANCE,CSGO Advance
KXCSGOGAME,Counter-Strike 2 Games
KXCSGOMAP,CSGO Map Winner
KXCYCLING,Cycling Race Winner
KXCYCLINGTEAM,Cycling Team Winner
KXCZEFLGAME,Czech First League Game
KXDANISHSUPERLIGAGAME,Danish Superliga Game
KXDARTSMATCH,Darts Match
KXDAVISCUP,Davis Cup Champions
KXDAVISCUPADVANCE,Davis Cup Advance
KXDAVISCUPMATCH,Davis Cup Match
KXDAYTONA24,Daytona 24 Hour Race Winner
KXDAYTONA24H,Daytona 24 Hour Race
KXDDFMENSINGLES,Dubai Duty Free Tennis Championships
KXDDFWOMENSINGLES,Dubai Duty Free Tennis Championships
KXDEFHEISMAN,Defensive Heisman Candidate
KXDELGAME,DEL Game
KXDENSUPERLIGA,Danish Superliga Champion
KXDENSUPERLIGAGAME,Danish Superliga Game
KXDFBPOKAL,DFB Pokal Winner
KXDFBPOKALADVANCE,DFB Pokal Advance
KXDFBPOKALGAME,DFB Pokal Game
KXDFBPOKALSPREAD,DFB Pokal Spread
KXDFBPOKALTOTAL,DFB Pokal Total
KXDIMAYORGAME,Liga DIMAYOR Game
KXDJOKOVICRETIRE,Djkovoic
KXDONATEBEASTWATER,Beast Water
KXDONATEMRBEAST,WILL MR BEAST DONATE
KXDOTA2,Dota 2 Tournament Winner
KXDOTA2GAME,Dota 2 Game
KXDOTA2MAP,Dota 2 Map Winner
KXDPWORLDTOUR,DP World Tour Tournament Winner
KXDPWORLDTOURMAKECUT,DP World Tour To Make Cut
KXDPWORLDTOURR1LEAD,DP World Tour R1 Leader
KXDWCS79,DWCS 79
KXECULP,Ecuador Liga Pro
KXECULPGAME,Ecuador Liga Pro Game
KXEFLCHAMPIONSHIP,EFL Championship League Winner
KXEFLCHAMPIONSHIPADVANCE,EFL Championship Advance
KXEFLCHAMPIONSHIPGAME,EFL Championship Game
KXEFLCHAMPIONSHIPSPREAD,EFL Championship Spread
KXEFLCHAMPIONSHIPTOTAL,EFL Championship Total
KXEFLCUP,EFL Cup Winner
KXEFLCUPADVANCE,EFL Cup Advance
KXEFLCUPGAME,EFL Cup Game
KXEFLCUPSPREAD,EFL Cup Spread
KXEFLCUPTOTAL,EFL Cup Total
KXEFLL1GAME,EFL League One Game
KXEFLPROMO,EFL Promotion
KXEGYPL,Egyptian Premier League 
KXEGYPLGAME,Egyptian Premier League Game
KXEKSTRAKLASA,Ekstraklasa Champion
KXEKSTRAKLASAGAME,Polish Ekstraklasa Game
KXELHGAME,ELH Game
KXELITESERIENGAME,Eliteserien Game
KXEPL1H,Premier League First Half Winner
KXEPL1HBTTS,EPL 1st Half BTTS
KXEPL1HSPREAD,EPL 1st Half Spread
KXEPL1HTOTAL,EPL 1st Half Total
KXEPLANYGOAL,EPL Anytime Goalscorer
KXEPLBTTS,EPL Both Teams to Score
KXEPLCORNERS,EPL Corners
KXEPLFIRSTGOAL,EPL 1st Goalscorer
KXEPLGAME,English Premier League Game
KXEPLGOAL,EPL Goalscorer
KXEPLPOY,EPL Player Of The Year 
KXEPLRELEGATION,English Premier League Relegation
KXEPLSOA,EPL Score or Assist
KXEPLSPREAD,English Premier League Spread
KXEPLTCORNERS,EPL Team Corners
KXEPLTEAMTOTAL,Team Total
KXEPLTOP2,Top 2 Finishers
KXEPLTOP4,EPL top 4 teams
KXEPLTOP6,Top 6 Finishers
KXEPLTOTAL,English Premier League Total Goals
KXEREDIVISIE,Eredivisie League Winner
KXEREDIVISIEGAME,Eredivisie Game
KXEREDIVISIESPREAD,Eredivisie Spread
KXEREDIVISIETOTAL,Eredivisie Total
KXESLPROS1,ESL Pro League Stage 1
KXESPORTSTEST,TESTING
KXESPSUPERCUPADVANCE,Spain Super Cup Advance
KXESPSUPERCUPGAME,Spain Super Cup Game
KXEUROCUPGAME,EuroCup Basketball Game
KXEUROCUPSPREAD,EuroCup Basketball Spread
KXEUROCUPTOTAL,EuroCup Basketball Total
KXEUROLEAGUE,EuroLeague Champion
KXEUROLEAGUEGAME,Euroleague Game
KXEUROLEAGUESPREAD,EuroLeague Spread
KXEUROLEAGUETOTAL,EuroLeague Total
KXEUROVISIONISRAELBAN,Eurovision Israel ban
KXEWCAPEXLEGENDS,Apex Legends at 2025 Esports World Cup
KXEWCCALLOFDUTYBLOPS6,Call of Duty: Black Ops 6 at 2025 Esports World Cup
KXEWCCHESS,Chess – Esports World Cup winner
KXEWCCHESS2025,Chess – Esports World Cup Winner?
KXEWCCS2,ESPORTS WORLD CUP COUNTER STRIKE 2
KXEWCDOTA2,Dota 2 at 2025 Esports World Cup
KXEWCEASPORTSFC,EA SPORTS FC 25 at 2025 Esports World Cup WINNER
KXEWCFATALFURY,FATAL FURY: City of the Wolves at 2025 Esports World Cup
KXEWCFREEFIRE,Free Fire at 2025 Esports World Cup
