ticker,title
KXLIGAPORTUGAL,Liga Portugal Winner
KXLIGAPORTUGALGAME,Liga Portugal Game
KXLIGUE1,LIGUE 1
KXLIGUE11H,Ligue 1 First Half Winner
KXLIGUE11HBTTS,1st Half BTTS
KXLIGUE11HSPREAD,1st Half Spread
KXLIGUE11HTOTAL,1st Half Total
KXLIGUE1BTTS,Ligue 1 BTTS
KXLIGUE1GAME,Ligue 1 Game
KXLIGUE1RELEGATION,Ligue 1 Relegation
KXLIGUE1SPREAD,Ligue 1 Spread
KXLIGUE1TOP4,Ligue 1 Top 4 Finishers
KXLIGUE1TOTAL,Ligue 1 Total
KXLIIGAGAME,Liiga Game
KXLIVCOMPETE,Golfers to Compete in a LIV Event
KXLIVH2H,LIV Head-to-Head Matchups
KXLIVMAKECUT,DONT USE
KXLIVOCCUR,LIV Golf Event Occurrence 
KXLIVR1LEAD,Liv Round 1 Leader
KXLIVTOP10,Liv Top 10 Finisher
KXLIVTOP5,Liv Top 5 Finisher
KXLIVTOUR,LIV Tour
KXLNBELITEGAME,LNB Elite Game
KXLOL1STTIMEWIN,LOL First time winner
KXLOLGAME,League of Legends Game
KXLOLGAMES,League of Legends Games
KXLOLMAP,League of Legends Map Winner
KXLOLTOTAL,League of Legends Total Maps Played
KXLOLTOTALMAPS,League of Legends Total Maps
KXLOSEBARCA,Barcelona lose
KXLOSEREALMADRID,Real Madrid lose
KXLPGATOUR,PGA Tour
KXLSUCOACH,LSU Next Coach
KXMADMEN,Men's Madrid Open Winner
KXMADWOMEN,Madrid Open Winner (Women's)
KXMAKEMARMAD,Make March Madness Tournament
KXMANAGERSOUT,Managers Out
KXMANTIS,Mantis time
KXMANTISFREETHROWS,MANTIS FREE THROWS
KXMARATHON,Marathon Winner
KXMARMAD,College Basketball Champion
KXMARMAD1SEED,March Madness 1 Seeds
KXMARMAD3D,Men's March Madness Triple Double
KXMARMADCONF,March Madness Conference
KXMARMADCONFWIN,March Madness Conference Winner
KXMARMADHIGHSEED,March Madness Highest Seed to Reach Round
KXMARMADPTS,Men's March Madness Points
KXMARMADREGION,March Madness Region Winner
KXMARMADROUND,Reach March Madness Round
KXMARMADSEED,March Madness Winner Seed
KXMARMADSEEDDIF,March Madness Biggest Upset
KXMARMADSEEDROUND,March Madness Seed Round
KXMARMADSEEDSUM,March Madness Sum of Seeds
KXMARMADSEEDWIN,March Madness Seed Win
KXMARMADUPSET,March Madness Upsets
KXMASTERS,Masters Tournament
KXMASTERSCUT,Masters Cut
KXMBLNLEAST,National League East Winner
KXMCGREGORFIGHTNEXT,McGregor fight next
KXMCMEN,ATP Monte-Carlo Winner
KXMCMMEN,ATP Monte-Carlo Masters Winner
KXMEMCOACH,Memphis Next Coach
KXMENWORLDCUP,Men's World Cup winner
KXMESSIRETIRE,Messi retirement
KXMICHCOACH,Michigan Next Coach
KXMIDSEASONINVITATIONAL,2025 Mid-Season Invitational
KXMIDSEASONINVITATIONALB,2025 Mid-Season Invitational
KXMLB,World Series
KXMLB500,MLB teams at .500
KXMLBAL,MLB American League Championship
KXMLBALCENT,American League Central Winner
KXMLBALCPOTY,Pro Baseball American League Comeback Player of the Year
KXMLBALCY,Pro Baseball American League Cy Young
KXMLBALEAST,American League East Winner
KXMLBALHAARON,Pro Baseball American League Hank Aaron
KXMLBALMOTY,Pro Baseball American League Manager of the Year
KXMLBALMVP,Pro Baseball American League MVP
KXMLBALRELOTY,Pro Baseball American League Reliever of the Year
KXMLBALROTY,Pro Baseball American League Rookie of the Year
KXMLBALWEST,American League West Winner
KXMLBASGAME,Professional Baseball All-Star Game
KXMLBAWARDCOMBO,Pro Baseball Award Combo
KXMLBBESTRECORD,Pro Baseball Best Record
KXMLBCOACH,Pro Baseball Next Manager
KXMLBDEBUT,Pro Baseball Debut
KXMLBDIVWINNER,MLB divisions
KXMLBDRAFTPICK,Pro Baseball Draft Pick
KXMLBDRAFTTOP,Pro Baseball Top Pick
KXMLBEOTY,Pro Baseball Executive of the Year
KXMLBF5,First 5 Innings Winner
KXMLBF5SPREAD,First 5 Innings Spread
KXMLBF5TOTAL,First 5 Innings Total
KXMLBGAME,Professional Baseball Game
KXMLBHIT,Pro Baseball Hits
KXMLBHR,Pro Baseball Home Runs
KXMLBHRDERBY,Pro Baseball Homerun Derby
KXMLBHRR,Pro Baseball Hits Runs RBIs
KXMLBKS,Pro Baseball Strikeouts
KXMLBLSTREAK,Longest Losing Streak
KXMLBNL,MLB National League Championship
KXMLBNLCENT,National League Central Winner
KXMLBNLCPOTY,National League Comeback Player of the Year
KXMLBNLCY,Pro Baseball National League Cy Young
KXMLBNLEAST,National League East Winner
KXMLBNLHAARON,Pro Baseball American League Hank Aaron
KXMLBNLMOTY,Pro Baseball National League Manager of the Year
KXMLBNLMVP,Pro Baseball National League MVP
KXMLBNLRELOTY,Pro Baseball National League Reliever of the Year
KXMLBNLROTY,Pro Baseball National League Rookie of the Year
KXMLBNLWEST,National League West Winner
KXMLBPITCHEROTM,Pro Baseball Pitcher of the Month
KXMLBPLAYEROTM,Pro Baseball Player of the Month
KXMLBPLAYEROTW,Pro Baseball Player of the Week
KXMLBPLAYOFFS,Pro Baseball Playoff Qualifiers
KXMLBRBI,Pro Baseball RBIs
KXMLBRETURN,Pro Baseball Player Return
KXMLBRFI,Pro Baseball Run in First Inning
KXMLBSEASONHR,Pro Baseball Season Home Runs
KXMLBSERIES,Professional Baseball Series
KXMLBSERIESEXACT,Professional Baseball Series Exact Result
KXMLBSERIESGAMETOTAL,Professional Baseball Series Total Games
KXMLBSPREAD,Pro Baseball Spread
KXMLBSS,Pro Baseball Silver Slugger
KXMLBSTAT,Pro Baseball Season Stat
KXMLBSTATCOUNT,Pro Baseball Season Stat
KXMLBSTGAME,Pro Baseball Spring Training game
KXMLBTB,Pro Baseball Total Bases
KXMLBTEAMTOTAL,Pro Baseball Team Total
KXMLBTOTAL,Pro Baseball Total Points
KXMLBTRADE,Pro Baseball Trades
KXMLBWINS-ATH,Pro baseball wins A's
KXMLBWINS-ATL,Pro baseball wins Atlanta
KXMLBWINS-AZ,Pro baseball wins Arizona
KXMLBWINS-BAL,Pro baseball wins Baltimore
KXMLBWINS-BOS,Pro baseball wins Boston
KXMLBWINS-CHC,Pro baseball wins Chicago C
KXMLBWINS-CIN,Pro baseball wins Cincinnati
KXMLBWINS-CLE,Pro baseball wins Cleveland
KXMLBWINS-COL,Pro baseball wins Colorado
KXMLBWINS-CWS,Pro baseball wins Chicago W
KXMLBWINS-DET,Pro baseball wins Detroit
KXMLBWINS-HOU,Pro baseball wins Houston
KXMLBWINS-KC,Pro baseball wins Kansas City
KXMLBWINS-LAA,Pro baseball wins Los Angeles A
KXMLBWINS-LAD,Pro baseball wins Los Angeles D
KXMLBWINS-MIA,Pro baseball wins Miami
KXMLBWINS-MIL,Pro baseball wins Milwaukee
KXMLBWINS-MIN,Pro baseball wins Minnesota
KXMLBWINS-NYM,Pro baseball wins New York M
KXMLBWINS-NYY,Pro baseball wins New York Y
KXMLBWINS-PHI,Pro baseball wins Philadelphia
KXMLBWINS-PIT,Pro baseball wins Pittsburgh
KXMLBWINS-SD,Pro baseball wins San Diego
KXMLBWINS-SEA,Pro baseball wins Seattle
KXMLBWINS-SF,Pro baseball wins San Francisco
KXMLBWINS-STL,Pro baseball wins St. Louis
KXMLBWINS-TB,Pro baseball wins Tampa Bay
KXMLBWINS-TEX,Pro baseball wins Texas
KXMLBWINS-TOR,Pro baseball wins Toronto
KXMLBWINS-WSH,Pro baseball wins Washington
KXMLBWORLD,World Baseball Classic
KXMLBWORSTRECORD,Pro Baseball Best Record
KXMLBWS,MLB World Series
KXMLBWSMVP,Pro Baseball Championship MVP
KXMLBWSTREAK,Longest Winning Streak
KXMLR,Major League Rugby Champion
KXMLSADVANCE,MLS To Advance
KXMLSBTTS,MLS BTTS
KXMLSCUP,MLS Cup champion
KXMLSEAST,MLS Western Conference winner?
KXMLSGAME,Major League Soccer Game
KXMLSJOIN,MLS Transfers
KXMLSSPREAD,MLS Spread
KXMLSTOTAL,MLS Total
KXMLSWEST,MLS Western Conference winner?
KXMOMEN,Miami Open Winner (Men's)
KXMOTOGP,Moto GP World Champion
KXMOTOGPRACE,Moto GP Race
KXMOTOGPTEAMS,Moto GP Teams' World Champion
KXMOWOMEN,Miami Open Winner (Women's)
KXMULTIPREPACK,Cross Sport Prepack
KXMWORLDCUP,Men's World Cup winner
KXMWREG,Mountain West Regular Season Champions
KXNASCAR,NASCAR Cup Series playoffs
KXNASCARAUTOPARTSSERIES,NASCAR Auto Parts Series Champion
KXNASCARCUPCHAMP,Nascar Cup Series Championship
KXNASCARCUPSERIES,NASCAR Cup Series Champion
KXNASCARFASTLAP,NASCAR Fastest Lap
KXNASCARH2H,NASCAR Head-to-Head
KXNASCARRACE,NASCAR Race
KXNASCARRACEOLD,NASCAR Race winner
KXNASCARTOP10,NASCAR Top 10 Finishers
KXNASCARTOP20,NASCAR Top 20 Finishers
KXNASCARTOP3,NASCAR Top 5 Finishers
KXNASCARTOP5,NASCAR Top 5 Finishers
KXNASCARTOPTEAM,NASCAR Top Team
KXNASCARTRUCKSERIES,NASCAR Truck Series Champion
KXNATHANDOGS,Nathan's hot dogs
KXNATHANSHD,Nathan's Hot Dog Eating Contest winner?
KXNBA,NBA Championship
KXNBA1HSPREAD,Pro Basketball 1st Half Spread
KXNBA1HTOTAL,NBA 1st Half Total Points
KXNBA1HWINNER,Pro Baskeball 1st Half Winner
KXNBA1QSPREAD,Pro Basketball 1st Quarter Spread
KXNBA1QTOTAL,NBA 1st Quarter Total
KXNBA1QWINNER,NBA 1st Quarter Winner
KXNBA1STTEAM,All-NBA 1st Team
KXNBA1STTEAMDEF,All-NBA Defensive 1st Team
KXNBA2D,Pro Basketball Double Double
KXNBA2HSPREAD,Pro Basketball 2nd Half Spread
KXNBA2HTOTAL,NBA 2nd Half Total Points
KXNBA2HWINNER,Pro Basketball 2nd Half Winner
KXNBA2NDTEAM,All-NBA 2nd Team
KXNBA2NDTEAMDEF,All-NBA Defensive 2nd Team
KXNBA2QSPREAD,Pro Basketball 2nd Quarter Spread
KXNBA2QTOTAL,NBA 1st Quarter Total
KXNBA2QWINNER,NBA 2nd Quarter Winner
KXNBA30COMEBACK,NBA 3-0 Series Comeback
KXNBA3D,Pro Basketball Triple Double
KXNBA3PT,Pro Basketball Player Threes
KXNBA3PTCONTEST,NBA 3-Point Contest Winner
KXNBA3QSPREAD,Pro Basketball 3rd Quarter Spread
KXNBA3QTOTAL,NBA 3rd Quarter Total
KXNBA3QWINNER,NBA 3rd Quarter Winner
KXNBA3RDTEAM,All-NBA 3rd Team
KXNBA4QSPREAD,Pro Basketball 4th Quarter Spread
KXNBA4QTOTAL,NBA 4th Quarter Total
KXNBA4QWINNER,NBA 4th Quarter Winner
KXNBAALLSTAR,NBA All-Star game
KXNBAALLSTARGAME,NBA All-Star Game Winner
KXNBAALLSTARMVP,NBA All-Star Game MVP
KXNBAALLSTARS,Pro Basketball All Stars
KXNBAAPOLOGY,Pro Basketball Apology
KXNBAAST,Pro Basketball Player Assists
KXNBAATLANTIC,NBA Atlantic Division Winner
KXNBABLK,Pro Basketball Player Blocks
KXNBACELEBRITY3PT,NBA Celebrity 3PT Contest
KXNBACELEBRITYGAME,Pro Basketball All-Star Celebrity Game
KXNBACENTRAL,NBA Central Division Winner
KXNBACLUTCH,Pro Basketball Clutch Player of the Year
KXNBACOY,Pro Basketball Coach of the Year
KXNBACUP,Pro Basketball Cup Champion
KXNBACUPMVP,Pro Basketball Cup Tournament MVP
KXNBADPOY,Pro Basketball Defensive Player of the Year
KXNBADRAFT1,NBA Draft First Pick
KXNBADRAFT10,NBA Draft Tenth Pick
KXNBADRAFT2,NBA Draft Second Pick
KXNBADRAFT3,NBA Draft Third Pick
KXNBADRAFT4,NBA Draft Fourth Pick
KXNBADRAFT5,NBA Draft Fifth Pick
KXNBADRAFT6,NBA Draft Sixth Pick
KXNBADRAFT7,NBA Draft Seventh Pick
KXNBADRAFT8,NBA Draft Eighth Pick
KXNBADRAFT9,NBA Draft Ninth Pick
KXNBADRAFTCAT,Pro Basketball Draft Category
KXNBADRAFTCOMP,Pro Basketball Draft Comparison
KXNBADRAFTCONF,Pro Basketball Players Drafted by Conference
KXNBADRAFTINT,Pro Basketball International Players Drafted
KXNBADRAFTMATCHUP,Pro Basketball Draft Matchup
KXNBADRAFTOU,Pro Basketball Players Draft Position
KXNBADRAFTPICK,Pro Basketball Draft Pick
KXNBADRAFTTEAM,Pro Basketball Team to Draft
KXNBADRAFTTOP,Pro Basketball Top Draft
KXNBADRAFTTOP10,NBA Draft Top 10 Pick
KXNBADRAFTTOP15,NBA Draft Top 15 Pick
KXNBADRAFTTOP20,NBA Draft Top 20 Pick
KXNBADRAFTTOP25,NBA Draft Top 25 Pick
KXNBADRAFTTOP30,NBA Draft Top 30 Pick
KXNBADRAFTTOP5,NBA Draft Top 5 Pick
KXNBADRAFTTRADE,Pro Basketball Draft Trade
KXNBAEAST,Pro Basketball Eastern Conference Champion
KXNBAEAST1SEED,NBA Eastern Conference 1 Seed
KXNBAECFQUAL,Pro Basketball Eastern Conference Finals Qualifiers
KXNBAEFINMVP,Pro Basketball Eastern Conference Finals MVP
KXNBAFINALSEXACT,Pro Basketball Championship Series Score
KXNBAFINALSMVP,Finals MVP
KXNBAFINALSVIEWER,NBA finals viewership
KXNBAFINALSVIEWERGAME7,NBA finals viewership
KXNBAFINMVP,Pro Basketball Finals MVP
KXNBAFIRSTBASKET,Pro Basketball First Basket
KXNBAGAME,Professional Basketball Game
KXNBAGAME7,NBA Series that Go to a Game 7
KXNBAGAMES,NBA games
KXNBALASVEGAS,Las Vegas NBA team
KXNBALOTTERY,NBA Draft Lottery Picks
KXNBALOTTERYODDS,NBA Lottery Winner Odds
KXNBAMATCHUP,Pro Basketball Who Will Team Match Up With
KXNBAMIMP,Pro Basketball Most Improved Player
KXNBAMVP,Pro Basketball MVP
KXNBANEWCHAMP,NBA First-Time Champion
KXNBANORTHWEST,NBA Northwest Division Winner
KXNBAOVERTIME,NBA Overtime
KXNBAPA,Pro Basketball Points + Assists
KXNBAPACIFIC,NBA Pacific Division Winner
KXNBAPIADVANCE,NBA Play-In Team to Advance
KXNBAPLAYIN,Which Team Will Make the Play-In Tournament
KXNBAPLAYOFF,Pro Basketball Playoff Qualifier
KXNBAPLAYOFF3D,NBA Playoff Triple-Double
KXNBAPLAYOFFPTS,NBA Playoffs Player Points
KXNBAPLAYOFFWINS,NBA Playoff Wins by Team
KXNBAPR,Pro Basketball Points + Rebounds
KXNBAPRA,Pro Basketball Points + Rebounds + Assists
KXNBAPREPACK2ML,2 ML Basketball Combo
KXNBAPREPACK3ML,3ML Basketball Combo
KXNBAPTS,Pro Basketball Player Points
KXNBAPTSLEADER,NBA Points Leader
KXNBARA,Pro Basketball Rebounds + Assists
KXNBAREB,Pro Basketball Player Rebounds
KXNBARETIRE,NBA Retirement
KXNBARETURN,Pro Basketball Player to Return
KXNBARISINGSTARS,Pro Basketball Rising Stars Tournament
KXNBAROOKIE1STTEAM,NBA All-Rookie 1st Team
KXNBAROY,Pro Basketball Rookie of the Year
KXNBASEATTLE,Seattle NBA team
KXNBASERIES,Professional Basketball Series
KXNBASERIESGAMES,NBA Series Total Games
KXNBASERIESPTSLEADER,NBA Series Points Leader
KXNBASERIESROADWIN,NBA Series 1st Road Win
KXNBASERIESSCORE,NBA Series Exact Score
KXNBASERIESSPREAD,NBA Series Game Spread
KXNBASHOOTINGSTARS,Pro Basketball Shooting Stars Contest
KXNBASIXTH,Pro Basketball Sixth Man of the Year
KXNBASLAMDUNK,NBA Slam Dunk Contest Winner
KXNBASOUTHEAST,NBA Southeast Division Winner
KXNBASOUTHWEST,NBA Southwest Division Winner
KXNBASPORTSMANSHIP,NBA Sportsmanship Award
KXNBASPREAD,Pro Basketball Spread
KXNBASTL,Pro Basketball Player Steals
KXNBASWEEP,NBA Teams to Have a Series Sweep
KXNBATEAM,NBA team
KXNBATEAMTOTAL,NBA Team Total
KXNBATOP3,Pro Basketball Draft Lottery Top 3
KXNBATOP5ROTY,Top 5 NBA draft ROTY
KXNBATOPPICK,Pro Basketball Draft Lottery Winner
KXNBATOTAL,Pro Basketball Total Points
KXNBATRADE,Pro Basketball Trade
KXNBAUNBEATEN,NBA Playoffs Team to go Undefeated
KXNBAUPSET,NBA Number of Upsets per Round
KXNBAWEST,NBA Western Conference Championship
KXNBAWEST1SEED,NBA Western Conference 1 Seed
KXNBAWFINMVP,Pro Basketball Western Conference Finals MVP
KXNBAWINRECORD,OKC NBA Win Record
KXNBAWINS,Pro basketball wins
KXNBLGAME,NBL Basketball Game
KXNCAABACC,ACC Men's Basketball Tournament
KXNCAABASEBALL,College Baseball Champion
KXNCAABBGAME,College Baseball Game
KXNCAABBGS,College Baseball Golden Spikes Award
KXNCAABBIG10,Big Ten Men's Basketball Tournament
KXNCAABBIG12,Big 12 Men's Basketball Tournament
KXNCAABBIGEAST,Big East Men's Basketball Tournament
KXNCAABBIGTEN,Big Ten Men's Basketball Tournament
KXNCAABBPLAYOFFS,College Baseball Playoff Qualifiers
KXNCAABBSPREAD,College Baseball Spread
KXNCAABBTOTAL,College Baseball Total Runs
KXNCAABGAME,College Basketball Game
KXNCAABIVY,Ivy League Men's Basketball Tournament
KXNCAABSEC,SEC Men's Basketball Tournament
KXNCAAF,NCAAF Championship
KXNCAAF1HWINNER,College Football 1st Half Winner
KXNCAAFAAC,American Athletic Conference Champion
KXNCAAFACC,ACC Champion
KXNCAAFAPRANK,College Football AP Rank
KXNCAAFB10,Big Ten Champion
KXNCAAFB12,Big 12 Champion
KXNCAAFBACC,ACC Champion
KXNCAAFBB10,Big Ten Champion
KXNCAAFBB12,Big 12 Champion
KXNCAAFBSEC,SEC Champion
KXNCAAFCONF,NCAAF Championship Conference
KXNCAAFCOTW,College Football Coach of the Week
KXNCAAFCOTY,College Football Coach of the Year
KXNCAAFCS,FCS Football Champion
KXNCAAFCSGAME,College Football FCS Game
KXNCAAFCUSA,Conference USA Champion
KXNCAAFD3,D3 College Football Champion
KXNCAAFD3GAME,College Football Game
KXNCAAFFINALIST,College Football Finalist
KXNCAAFGAME,College Football Game
KXNCAAFIVY,Ivy League Champion
KXNCAAFMAC,MAC Champion
KXNCAAFMWC,Mountain West Champion
KXNCAAFPAC10,Pac-10 Champion
KXNCAAFPAC12,Pac-12 Champion
KXNCAAFPLAYOFF,College Football Playoff Qualifiers
KXNCAAFPREPACK2ML,MVE NCAAF Pre Pack
KXNCAAFPREPACK3ML,MVE NCAAF Pre Pack
KXNCAAFPREPACK4ML,MVE NCAAF Pre Pack
KXNCAAFPREPACKSGP,MVE NCAAF Pre Pack
KXNCAAFSBELT,Sun Belt Champion
KXNCAAFSEC,SEC Champion
KXNCAAFSPREAD,College Football Spread
KXNCAAFTEAMTOTAL,College Football Team Total Points
KXNCAAFTOPAPRANK,College Football AP Poll Top Rank
KXNCAAFTOTAL,College Football Total Points
KXNCAAFUNDEFEATED,Undefeated in College Football Regular Season
KXNCAAFWINS,College Football Win Total
KXNCAAHOCKEY,College Hockey National Champion
KXNCAAHOCKEYGAME,College Hockey Game
KXNCAALAXFINAL,College Lacrosse National Championship
KXNCAALAXGAME,College Lacrosse Game
KXNCAAMACC,ACC MEN'S BASKETBALL TOURNAMENT
KXNCAAMB1HSPREAD,Men's College Basketball 1H Spread
KXNCAAMB1HTOTAL,College Basketball 1H Total
KXNCAAMB1HWINNER,College Basketball 1H Winner
KXNCAAMB2ML,College Basketball 2-Moneyline Combo
KXNCAAMBA10,Atlantic-10 Conference Tournament
KXNCAAMBACC,ACC Conference Tournament
KXNCAAMBACHAMP,College Baseball Championship
KXNCAAMBAE,American East Conference Tournament
KXNCAAMBAMER,American Conference Tournament
KXNCAAMBAPRANK,College Basketball AP Poll
KXNCAAMBASUN,Atlantic Sun Conference Tournament
KXNCAAMBBIG10,Big 10 Conference Tournament
KXNCAAMBBIG12,Big 12 Conference Tournament
KXNCAAMBBIGEAST,Big East Conference Tournament
KXNCAAMBBSKY,Big Sky Conference Tournament
KXNCAAMBBSOU,Big South Conference Tournament
KXNCAAMBBWEST,Big West Conference Tournament
KXNCAAMBCAA,Coastal Athletic Association Conference Tournament
KXNCAAMBCBC,Men's College Basketball Crown Winner
KXNCAAMBCOTY,Men's College Basketball Naismith Coach of the Year
KXNCAAMBD3GAME,Men's College Basketball D3 Game
KXNCAAMBFIRST10,College Basketball Race to 10 Points
KXNCAAMBFIRST25,College Basketball Race to 25 Points
KXNCAAMBFIRST50,College Basketball Race to 50 Points
KXNCAAMBGAME,Men's College Basketball Men's Game
KXNCAAMBHL,Horizon League conference tournament winner
KXNCAAMBHOR,Horizon League Conference Tournament
KXNCAAMBIG12,Big 12 MEN'S BASKETBALL TOURNAMENT
KXNCAAMBIGEAST,Big East Men's basketball tournament
KXNCAAMBIGTEN,big ten MEN'S BASKETBALL TOURNAMENT
KXNCAAMBIVY,Ivy League Conference Tournament
KXNCAAMBMAA,Metro Atlantic Conference Tournament
KXNCAAMBMAMER,Mid-American Conference Tournament
KXNCAAMBMEAC,Mid-Eastern Conference Tournament
KXNCAAMBMOP,Men's College Basketball Most Outstanding Player
KXNCAAMBMVAL,Missouri Valley Conference Tournament
KXNCAAMBMW,Mountain West Conference Tournament
KXNCAAMBNAISMITH,Men's College Basketball Naismith
KXNCAAMBNEC,Northeast Conference Tournament
KXNCAAMBNEXTCOACH,Men's College Basketball Next Coach
KXNCAAMBNIT,Men's NIT Tournament Champion
KXNCAAMBOV,Ohio Valley Conference Tournament
KXNCAAMBPAT,Patriot League Conference Tournament
KXNCAAMBSBELT,Sun Belt Conference Tournament
KXNCAAMBSEC,SEC Conference Tournament
KXNCAAMBSGP,College Basketball Same Game Parlay
KXNCAAMBSLC,Southland Conference Tournament
KXNCAAMBSOCON,Southern Conference Tournament
KXNCAAMBSPREAD,Men's College Basketball Spread
KXNCAAMBSUM,Summit League Conference Tournament
KXNCAAMBSUN,Atlantic Sun Conference Tournament
KXNCAAMBSWAC,Southwestern Atlantic Conference Tournament
KXNCAAMBTEAMMOSTPTS,College Basketball Team with the Most Points Scored
KXNCAAMBTOPAPRANK,College Basketball AP Poll Top Rank
KXNCAAMBTOTAL,Men's College Basketball Total Points
KXNCAAMBUNDEFEATED,Undefeated in College Basketball Regular Season
KXNCAAMBUSA,Conference USA Conference Tournament
KXNCAAMBWAC,Western Athletic Conference Tournament
KXNCAAMBWCC,West Coast Conference Tournament
KXNCAAMBWINS,College Basketball Win Totals
KXNCAAMIVYLEAGUE,Ivy League MEN'S BASKETBALL TOURNAMENT
KXNCAAMLAXF4,College Lacrosse Final Four Qualifiers
KXNCAAMLAXGAME,Men's College Lacrosse Game
KXNCAAMPAC12,PAC-12 MEN'S BASKETBALL TOURNAMENT
KXNCAAMSEC,SEC MEN'S BASKETBALL TOURNAMENT
KXNCAAMWRESTLING125,College Wrestling National Champion: 125-Pound Weight Class
KXNCAAMWRESTLING133,College Wrestling National Champion: 133-Pound Weight Class
KXNCAAMWRESTLING141,College Wrestling National Champion: 141-Pound Weight Class
KXNCAAMWRESTLING149,College Wrestling National Champion: 149-Pound Weight Class
KXNCAAMWRESTLING157,College Wrestling National Champion: 157-Pound Weight Class
KXNCAAMWRESTLING165,College Wrestling National Champion: 165-Pound Weight Class
KXNCAAMWRESTLING174,College Wrestling National Champion: 174-Pound Weight Class
KXNCAAMWRESTLING184,College Wrestling National Champion: 184-Pound Weight Class
KXNCAAMWRESTLING197,College Wrestling National Champion: 197-Pound Weight Class
KXNCAAMWRESTLING285,College Wrestling National Champion: 285-Pound Weight Class
KXNCAANIT,NIT Champion
KXNCAAPLAYOFF,College Football Playoff Qualifiers
KXNCAAWB,Women's March Madness Champion
KXNCAAWBGAME,College Basketball Women's Game
KXNCAAWBMOP,Women's College Basketball Most Outstanding Player
KXNCAAWBNIT,Women's NIT Tournament Champion
KXNCAAWBSPREAD,Women's College Basketball Spread
KXNCAAWBTOTAL,Women's College Basketball Total Points
KXNCAAWBUNDEFEATED,Undefeated in Women's College Basketball Regular Season
KXNCAAWBWBIT,WBIT Winner
KXNDJOINCONF,Join Conference
KXNEWCASTLEUBADGE,Newcastle United badge
KXNEWCOACHCHIBEARS,Chicago Bears new coach
KXNEWCOACHDAL,Dallas Cowboys new coach
KXNEWCOACHJAX,JACKSONVILLE JAGUARS new coach
KXNEWCOACHLAL,New Lakers coach
KXNEWCOACHLV,Las Vegas Raiders New Coach
KXNEWCOACHNE,New England Patriots new coach
KXNEWCOACHNO,New Orleans Saints new coach
KXNEWCOACHNYJ,New York Jets new coach
KXNEWCOACHUNC,University of North Carolina new coach
KXNEXTCOACHOUTNBA,Next coach out NBA
KXNEXTCOACHOUTNFL,Next Coach Out Pro Football
KXNEXTCONTRACTSKUBAL,Tarik Skubal Next Contract Value
KXNEXTEAMTYREEK,Tyreek Hill next team
KXNEXTMANAGERCHELSEA,Next Manager Chelsea
KXNEXTMANAGEREPL,Next Manager
KXNEXTMANAGERJUV,Next Manager of Juventus
KXNEXTMANAGERLALIGA,La Liga Next Manager
KXNEXTMANAGERMANU,Next Man U Manager
KXNEXTMANAGERMIL,Next Manager of AC Milan
KXNEXTMANAGERMLB,Next Manager
KXNEXTNBACOACH,Who is the Next NBA Coach of Team
KXNEXTNFLCOACH,Next Pro Football Coach
KXNEXTTEAMCHRISPAUL,Next Team Chris Paul
KXNEXTTEAMGIANNIS,Giannis next team
KXNEXTTEAMLEBRON,Lebron's Next Team
KXNEXTTEAMMCLAURIN,Terry McLaurin next team
KXNEXTTEAMMICAH,Micah Parsons next team
KXNEXTTEAMMLB,MLB Player Next Team
KXNEXTTEAMNBA,Next NBA Team
KXNEXTTEAMNFL,Pro Football Player Next Team
KXNEXTTEAMNHL,Next Team NHL
KXNEXTTEAMSKUBAL,Tarik Skubal Next Team
KXNEXTTEAMTYREEK,Tyreek Hill next team
KXNEXTTEAMVERSTAPPEN,Will Max Verstappen go to Mercedes?
KXNEXTTEAMWESTBROOK,RUSSELL WESTBROOK NEXT TEAM
KXNFC,NFC Championship
KXNFCAFCSB,AFC NFC SB
KXNFL1HSPREAD,NFL 1st Half Spread
KXNFL1HTOTAL,NFL 1st  Half Total Points
KXNFL1HWINNER,NFL 1st Half Winner
KXNFL1QSPREAD,Pro Football 1st Quarter Spread
KXNFL1QTOTAL,Pro Football 1st Quarter Total
KXNFL1QWINNER,Pro Football 1st Quarter Winner
KXNFL1YDPASS,Seattle 1 Yard Pass
KXNFL2HSPREAD,Pro Football 2nd Half Spread
KXNFL2HTOTAL,Pro Football 2nd Half Total
KXNFL2HWINNER,NFL 2nd Half Winner
KXNFL2PTCONV,Pro Football 2-Point Conversions
KXNFL2QSPREAD,Pro Football 2nd Quarter Spread
KXNFL2QTOTAL,Pro Football 2nd Quarter Total
KXNFL2QWINNER,Pro Football 2nd Quarter Winner
KXNFL2TD,Pro Football Multiple Touchdowns
KXNFL3QSPREAD,Pro Football 3rd Quarter Spread
KXNFL3QTOTAL,Pro Football 3rd Quarter Total
KXNFL3QWINNER,Pro Football 3rd Quarter Winner
KXNFL4DCONV,Pro Football 4th Down Conversions
KXNFL4DOWNCONV,Pro Football 4th Down Conversions
KXNFL4QSPREAD,Pro Football 4th Quarter Spread
KXNFL4QTOTAL,Pro Football 4th Quarter Total
KXNFL4QWINNER,Pro Football 4th Quarter Winner
KXNFLAFCCHAMP,American Football Conference Champion
KXNFLAFCEAST,American Football Conference East Winner
KXNFLAFCNORTH,American Football Conference North Winner
KXNFLAFCSOUTH,American Football Conference South Winner
KXNFLAFCWEST,American Football Conference West Winner
