timestamp,ticker,p1_name,p2_name,score_str,game_score_str,server,p1_first_serve_pct,p1_first_serve_num,p1_first_serve_den,p1_first_serve_won_pct,p1_first_serve_won_num,p1_first_serve_won_den,p1_second_serve_won_pct,p1_second_serve_won_num,p1_second_serve_won_den,p1_first_return_won_pct,p1_first_return_won_num,p1_first_return_won_den,p1_second_return_won_pct,p1_second_return_won_num,p1_second_return_won_den,p2_first_serve_pct,p2_first_serve_num,p2_first_serve_den,p2_first_serve_won_pct,p2_first_serve_won_num,p2_first_serve_won_den,p2_second_serve_won_pct,p2_second_serve_won_num,p2_second_serve_won_den,p2_first_return_won_pct,p2_first_return_won_num,p2_first_return_won_den,p2_second_return_won_pct,p2_second_return_won_num,p2_second_return_won_den,p1_last10_pts_won,p2_last10_pts_won,mc_prob_p1,mc_set_prob_p1,mc_game_prob_p1,kalshi_yes_ask,kalshi_yes_bid,match_outcome
2026-07-01T03:18:33.808449+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,6-4 5-7 0-0,30-0,p2,0.5614035087719298,32,57,0.8125,26,32,0.52,13,25,0.39622641509433965,21,53,0.45714285714285713,16,35,0.6022727272727273,53,88,0.6037735849056604,32,53,0.5428571428571428,19,35,0.1875,6,32,0.48,12,25,4,6,0.8716,0.8712,0.67,0.75,0.7,
2026-07-01T03:18:35.562154+00:00,KXATPCHALLENGERMATCH-26JUN30SURDRA-DRA,Liam Draxl,Dhakshineswar Suresh,4-5,30-0,p1,0.7083333333333334,17,24,0.7647058823529411,13,17,0.5714285714285714,4,7,0.10526315789473684,2,19,0.6,6,10,0.6551724137931034,19,29,0.8947368421052632,17,19,0.4,4,10,0.23529411764705882,4,17,0.42857142857142855,3,7,6,4,0.4311,0.4583,0.9808,0.5700000000000001,0.56,
2026-07-01T03:18:36.642220+00:00,KXATPCHALLENGERMATCH-26JUN30SUNSHI-SHI,Braden Shick,Fajing Sun,5-1,40-0,p1,0.8333333333333334,15,18,0.8666666666666667,13,15,0.6666666666666666,2,3,0.4444444444444444,4,9,0.6,9,15,0.375,9,24,0.5555555555555556,5,9,0.4,6,15,0.13333333333333333,2,15,0.3333333333333333,1,3,6,4,1.0,1.0,1.0,0.84,0.83,
2026-07-01T03:18:57.779011+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,6-4 5-7 0-0,40-0,p2,0.5614035087719298,32,57,0.8125,26,32,0.52,13,25,0.39622641509433965,21,53,0.4722222222222222,17,36,0.5955056179775281,53,89,0.6037735849056604,32,53,0.5277777777777778,19,36,0.1875,6,32,0.48,12,25,5,5,0.9125,0.9164,0.8785,0.79,0.78,
2026-07-01T03:18:59.286129+00:00,KXATPCHALLENGERMATCH-26JUN30SURDRA-DRA,Liam Draxl,Dhakshineswar Suresh,4-5,30-0,p1,0.68,17,25,0.7647058823529411,13,17,0.625,5,8,0.10526315789473684,2,19,0.6,6,10,0.6551724137931034,19,29,0.8947368421052632,17,19,0.4,4,10,0.23529411764705882,4,17,0.375,3,8,6,4,0.4857,0.4863,0.982,0.5800000000000001,0.56,
2026-07-01T03:19:00.317530+00:00,KXATPCHALLENGERMATCH-26JUN30SUNSHI-SHI,Braden Shick,Fajing Sun,6-1 0-0,0-0,p2,0.7894736842105263,15,19,0.8666666666666667,13,15,0.75,3,4,0.4444444444444444,4,9,0.6,9,15,0.375,9,24,0.5555555555555556,5,9,0.4,6,15,0.13333333333333333,2,15,0.25,1,4,6,4,1.0,0.9994,0.6067,0.85,0.84,
2026-07-01T03:19:21.455592+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,6-4 5-7 0-0,40-0,p2,0.5614035087719298,32,57,0.8125,26,32,0.52,13,25,0.39622641509433965,21,53,0.4722222222222222,17,36,0.5955056179775281,53,89,0.6037735849056604,32,53,0.5277777777777778,19,36,0.1875,6,32,0.48,12,25,5,5,0.9163,0.9148,0.8794,0.81,0.8,
2026-07-01T03:19:22.909432+00:00,KXATPCHALLENGERMATCH-26JUN30SURDRA-DRA,Liam Draxl,Dhakshineswar Suresh,4-5,30-0,p1,0.68,17,25,0.7647058823529411,13,17,0.625,5,8,0.10526315789473684,2,19,0.6,6,10,0.6551724137931034,19,29,0.8947368421052632,17,19,0.4,4,10,0.23529411764705882,4,17,0.375,3,8,6,4,0.475,0.4898,0.987,0.5900000000000001,0.58,
2026-07-01T03:19:23.924396+00:00,KXATPCHALLENGERMATCH-26JUN30SUNSHI-SHI,Braden Shick,Fajing Sun,6-1 0-0,0-0,p2,0.7894736842105263,15,19,0.8666666666666667,13,15,0.75,3,4,0.4444444444444444,4,9,0.6,9,15,0.375,9,24,0.5555555555555556,5,9,0.4,6,15,0.13333333333333333,2,15,0.25,1,4,6,4,1.0,0.9993,0.6018,0.85,0.84,
2026-07-01T03:19:47.002584+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,6-4 5-7 1-0,0-0,p1,0.5614035087719298,32,57,0.8125,26,32,0.52,13,25,0.4074074074074074,22,54,0.4722222222222222,17,36,0.6,54,90,0.5925925925925926,32,54,0.5277777777777778,19,36,0.1875,6,32,0.48,12,25,6,4,0.945,0.9425,0.8793,0.81,0.8,
2026-07-01T03:19:48.747284+00:00,KXATPCHALLENGERMATCH-26JUN30SURDRA-DRA,Liam Draxl,Dhakshineswar Suresh,4-5,40-0,p1,0.6538461538461539,17,26,0.7647058823529411,13,17,0.6666666666666666,6,9,0.10526315789473684,2,19,0.6,6,10,0.6551724137931034,19,29,0.8947368421052632,17,19,0.4,4,10,0.23529411764705882,4,17,0.3333333333333333,3,9,6,4,0.5254,0.5134,0.9983,0.5900000000000001,0.58,
2026-07-01T03:19:49.804933+00:00,KXATPCHALLENGERMATCH-26JUN30SUNSHI-SHI,Braden Shick,Fajing Sun,6-1 0-0,0-0,p2,0.7894736842105263,15,19,0.8666666666666667,13,15,0.75,3,4,0.4444444444444444,4,9,0.6,9,15,0.375,9,24,0.5555555555555556,5,9,0.4,6,15,0.13333333333333333,2,15,0.25,1,4,6,4,1.0,0.9992,0.6041,0.85,0.84,
2026-07-01T03:20:10.986969+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,6-4 5-7 1-0,0-0,p1,0.5614035087719298,32,57,0.8125,26,32,0.52,13,25,0.4074074074074074,22,54,0.4722222222222222,17,36,0.6,54,90,0.5925925925925926,32,54,0.5277777777777778,19,36,0.1875,6,32,0.48,12,25,6,4,0.9385,0.9394,0.8816,0.81,0.8,
2026-07-01T03:20:12.510854+00:00,KXATPCHALLENGERMATCH-26JUN30SURDRA-DRA,Liam Draxl,Dhakshineswar Suresh,5-5,0-0,p2,0.6296296296296297,17,27,0.7647058823529411,13,17,0.7,7,10,0.10526315789473684,2,19,0.6,6,10,0.6551724137931034,19,29,0.8947368421052632,17,19,0.4,4,10,0.23529411764705882,4,17,0.3,3,10,6,4,0.5729,0.5381,0.0702,0.6,0.59,
2026-07-01T03:20:13.606080+00:00,KXATPCHALLENGERMATCH-26JUN30SUNSHI-SHI,Braden Shick,Fajing Sun,6-1 0-0,0-0,p2,0.7894736842105263,15,19,0.8666666666666667,13,15,0.75,3,4,0.4444444444444444,4,9,0.6,9,15,0.375,9,24,0.5555555555555556,5,9,0.4,6,15,0.13333333333333333,2,15,0.25,1,4,6,4,1.0,0.9993,0.6068,0.85,0.84,
2026-07-01T03:20:34.770163+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,6-4 5-7 1-0,0-0,p1,0.5614035087719298,32,57,0.8125,26,32,0.52,13,25,0.4074074074074074,22,54,0.4722222222222222,17,36,0.6,54,90,0.5925925925925926,32,54,0.5277777777777778,19,36,0.1875,6,32,0.48,12,25,6,4,0.9436,0.9456,0.8816,0.8,0.78,
2026-07-01T03:20:36.305180+00:00,KXATPCHALLENGERMATCH-26JUN30SURDRA-DRA,Liam Draxl,Dhakshineswar Suresh,5-5,0-0,p2,0.6296296296296297,17,27,0.7647058823529411,13,17,0.7,7,10,0.10526315789473684,2,19,0.6,6,10,0.6551724137931034,19,29,0.8947368421052632,17,19,0.4,4,10,0.23529411764705882,4,17,0.3,3,10,6,4,0.566,0.5394,0.0736,0.62,0.61,
2026-07-01T03:20:37.456169+00:00,KXATPCHALLENGERMATCH-26JUN30SUNSHI-SHI,Braden Shick,Fajing Sun,6-1 0-0,0-0,p2,0.7894736842105263,15,19,0.8666666666666667,13,15,0.75,3,4,0.4444444444444444,4,9,0.6,9,15,0.375,9,24,0.5555555555555556,5,9,0.4,6,15,0.13333333333333333,2,15,0.25,1,4,6,4,1.0,0.9993,0.5954,0.85,0.84,
2026-07-01T03:20:58.533323+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,6-4 5-7 1-0,0-0,p1,0.5614035087719298,32,57,0.8125,26,32,0.52,13,25,0.4074074074074074,22,54,0.4722222222222222,17,36,0.6,54,90,0.5925925925925926,32,54,0.5277777777777778,19,36,0.1875,6,32,0.48,12,25,6,4,0.9454,0.942,0.8839,0.76,0.75,
2026-07-01T03:21:00.053734+00:00,KXATPCHALLENGERMATCH-26JUN30SURDRA-DRA,Liam Draxl,Dhakshineswar Suresh,5-5,15-0,p2,0.6296296296296297,17,27,0.7647058823529411,13,17,0.7,7,10,0.15,3,20,0.6,6,10,0.6666666666666666,20,30,0.85,17,20,0.4,4,10,0.23529411764705882,4,17,0.3,3,10,6,4,0.6829,0.6333,0.2067,0.63,0.62,
2026-07-01T03:21:01.127185+00:00,KXATPCHALLENGERMATCH-26JUN30SUNSHI-SHI,Braden Shick,Fajing Sun,6-1 0-0,0-0,p2,0.7894736842105263,15,19,0.8666666666666667,13,15,0.75,3,4,0.4444444444444444,4,9,0.6,9,15,0.375,9,24,0.5555555555555556,5,9,0.4,6,15,0.13333333333333333,2,15,0.25,1,4,6,4,1.0,0.9993,0.5929,0.85,0.84,
2026-07-01T03:21:22.297373+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,6-4 5-7 1-0,0-15,p1,0.5689655172413793,33,58,0.7878787878787878,26,33,0.52,13,25,0.4074074074074074,22,54,0.4722222222222222,17,36,0.6,54,90,0.5925925925925926,32,54,0.5277777777777778,19,36,0.21212121212121213,7,33,0.48,12,25,5,5,0.9096,0.91,0.7291,0.69,0.68,
