timestamp,ticker,p1_name,p2_name,direction,event,entry_price,exit_price,mc_prob_at_entry,bet_amount,fee,pnl,budget_remaining
2026-06-30T11:16:28.658555+00:00,KXATPMATCH-26JUN29ROYWEN-ROY,Valentin Royer,Harry Wendelken,no,entry,0.6599999999999999,,0.1702,0.6426,0.0,,4.3574
2026-06-30T11:16:30.206741+00:00,KXATPMATCH-26JUN29SHIFAR-FAR,Jaime Faria,Sho Shimabukuro,yes,entry,0.88,,0.9795,2.0768,0.0,,2.9232
2026-06-30T11:19:28.569569+00:00,KXATPMATCH-26JUN29ROYWEN-ROY,,,no,stop_loss,0.6599999999999999,0.56,0.1839,0.0,0.0,-0.18899999999999983,5.4158
2026-06-30T11:23:06.244155+00:00,KXATPMATCH-26JUN29ROYWEN-ROY,Valentin Royer,Harry Wendelken,yes,entry,0.43000000000000005,,0.5381,0.5117,0.0,,4.9041
2026-06-30T11:37:03.758286+00:00,KXATPMATCH-26JUN29ROYWEN-ROY,,,yes,profit_target,0.43000000000000005,0.52,0.5124,0.0,0.0,0.10709999999999997,5.5229
2026-06-30T11:41:13.312704+00:00,KXATPMATCH-26JUN29ROYWEN-ROY,Valentin Royer,Harry Wendelken,yes,entry,0.55,,0.6461,0.5885,0.0,,4.9344
2026-06-30T11:42:43.612354+00:00,KXATPMATCH-26JUN29ROYWEN-ROY,,,yes,profit_target,0.55,0.53,0.5216,0.0,0.0,-0.021400000000000086,5.5015
2026-06-30T11:44:58.566584+00:00,KXATPMATCH-26JUN29ROYWEN-ROY,Valentin Royer,Harry Wendelken,yes,entry,0.52,,0.6022,0.4732,0.0,,5.0283
2026-06-30T11:45:22.202282+00:00,KXATPMATCH-26JUN29ROYWEN-ROY,,,yes,profit_target,0.52,0.49,0.4799,0.0,0.0,-0.02729999999999999,5.4742
2026-06-30T11:46:06.234264+00:00,KXATPMATCH-26JUN29ROYWEN-ROY,Valentin Royer,Harry Wendelken,no,entry,0.52,,0.3961,0.4416,0.0,,5.0325999999999995
2026-06-30T11:47:23.556726+00:00,KXATPMATCH-26JUN29ROYWEN-ROY,,,no,stop_loss,0.52,0.43999999999999995,0.4178,0.0,0.0,-0.07360000000000005,5.437399999999999
2026-06-30T11:49:57.855984+00:00,KXATPMATCH-26JUN29ROYWEN-ROY,Valentin Royer,Harry Wendelken,no,entry,0.43999999999999995,,0.4434,0.7224,0.0,,4.714999999999999
2026-06-30T11:50:52.027502+00:00,KXATPMATCH-26JUN29ROYWEN-ROY,,,no,profit_target,0.43999999999999995,0.44999999999999996,0.5661,0.0,0.0,0.012899999999999912,5.295499999999999
2026-06-30T11:54:55.386764+00:00,KXATPMATCH-26JUN29ROYWEN-ROY,Valentin Royer,Harry Wendelken,no,entry,0.45999999999999996,,0.4488,0.5238,0.0,,4.771699999999999
2026-06-30T12:01:57.804301+00:00,KXATPMATCH-26JUN29ROYWEN-ROY,,,no,profit_target,0.45999999999999996,0.45999999999999996,0.5662,0.0,0.0,0.0,5.217899999999999
2026-06-30T12:03:36.228113+00:00,KXATPMATCH-26JUN29ROYWEN-ROY,Valentin Royer,Harry Wendelken,no,entry,0.39,,0.5252,0.5673,0.0,,4.650599999999999
2026-06-30T12:04:16.490276+00:00,KXATPMATCH-26JUN29ROYWEN-ROY,,,no,stop_loss,0.39,0.28,0.6199,0.0,0.0,-0.1023,4.910999999999999
2026-06-30T12:08:50.468440+00:00,KXATPMATCH-26JUN29SHIFAR-FAR,,,yes,stop_loss,0.88,0.71,0.9401,0.0,0.0,-0.4012000000000002,4.5988
2026-06-30T12:12:43.588265+00:00,KXATPMATCH-26JUN29SHIFAR-FAR,Jaime Faria,Sho Shimabukuro,yes,entry,0.88,,0.9602,1.54,0.0,,3.0587999999999997
2026-06-30T12:13:31.564173+00:00,KXATPMATCH-26JUN29ROYWEN-ROY,Valentin Royer,Harry Wendelken,yes,entry,0.8,,0.8813,1.0,0.0,,3.9109999999999987
2026-06-30T12:16:47.702599+00:00,KXATPMATCH-26JUN29SHIFAR-FAR,,,yes,stop_loss,0.88,0.74,0.9025,0.0,0.0,-0.2450000000000001,4.3538
2026-06-30T12:22:16.114716+00:00,KXATPMATCH-26JUN29SHIFAR-FAR,Jaime Faria,Sho Shimabukuro,yes,entry,0.78,,0.8633,0.8268,0.0,,3.5269999999999997
2026-06-30T12:31:07.769884+00:00,KXATPMATCH-26JUN29SHIFAR-FAR,,,yes,profit_target,0.78,0.79,0.7565,0.0,0.0,0.010599999999999943,4.3644
2026-06-30T12:32:28.191126+00:00,KXATPMATCH-26JUN29SHIFAR-FAR,Jaime Faria,Sho Shimabukuro,yes,entry,0.75,,0.8634,0.99,0.0,,3.3743999999999996
