timestamp,ticker,p1_name,p2_name,score_str,game_score_str,server,p1_first_serve_pct,p1_first_serve_num,p1_first_serve_den,p1_first_serve_won_pct,p1_first_serve_won_num,p1_first_serve_won_den,p1_second_serve_won_pct,p1_second_serve_won_num,p1_second_serve_won_den,p1_first_return_won_pct,p1_first_return_won_num,p1_first_return_won_den,p1_second_return_won_pct,p1_second_return_won_num,p1_second_return_won_den,p2_first_serve_pct,p2_first_serve_num,p2_first_serve_den,p2_first_serve_won_pct,p2_first_serve_won_num,p2_first_serve_won_den,p2_second_serve_won_pct,p2_second_serve_won_num,p2_second_serve_won_den,p2_first_return_won_pct,p2_first_return_won_num,p2_first_return_won_den,p2_second_return_won_pct,p2_second_return_won_num,p2_second_return_won_den,p1_last10_pts_won,p2_last10_pts_won,mc_prob_p1,kalshi_yes_ask,kalshi_yes_bid,match_outcome
2026-07-01T01:57:24.662269+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,4-3,0-15,p1,0.5882352941176471,10,17,0.7,7,10,0.7142857142857143,5,7,0.34782608695652173,8,23,0.5714285714285714,8,14,0.6216216216216216,23,37,0.6521739130434783,15,23,0.42857142857142855,6,14,0.3,3,10,0.2857142857142857,2,7,6,4,0.9742,0.8,0.76,
2026-07-01T01:57:47.001771+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,4-3,15-15,p1,0.5555555555555556,10,18,0.7,7,10,0.75,6,8,0.34782608695652173,8,23,0.5714285714285714,8,14,0.6216216216216216,23,37,0.6521739130434783,15,23,0.42857142857142855,6,14,0.3,3,10,0.25,2,8,6,4,0.9837,0.8200000000000001,0.81,
2026-07-01T01:58:09.194004+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,4-3,30-15,p1,0.5789473684210527,11,19,0.7272727272727273,8,11,0.75,6,8,0.34782608695652173,8,23,0.5714285714285714,8,14,0.6216216216216216,23,37,0.6521739130434783,15,23,0.42857142857142855,6,14,0.2727272727272727,3,11,0.25,2,8,6,4,0.9914,0.84,0.83,
2026-07-01T01:58:31.408179+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,4-3,30-15,p1,0.5789473684210527,11,19,0.7272727272727273,8,11,0.75,6,8,0.34782608695652173,8,23,0.5714285714285714,8,14,0.6216216216216216,23,37,0.6521739130434783,15,23,0.42857142857142855,6,14,0.2727272727272727,3,11,0.25,2,8,6,4,0.9921,0.83,0.8,
2026-07-01T01:58:53.849473+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,4-3,30-30,p1,0.6,12,20,0.6666666666666666,8,12,0.75,6,8,0.34782608695652173,8,23,0.5714285714285714,8,14,0.6216216216216216,23,37,0.6521739130434783,15,23,0.42857142857142855,6,14,0.3333333333333333,4,12,0.25,2,8,6,4,0.9696,0.8200000000000001,0.78,
2026-07-01T01:59:16.080642+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,4-3,40-30,p1,0.6190476190476191,13,21,0.6923076923076923,9,13,0.75,6,8,0.34782608695652173,8,23,0.5714285714285714,8,14,0.6216216216216216,23,37,0.6521739130434783,15,23,0.42857142857142855,6,14,0.3076923076923077,4,13,0.25,2,8,7,3,0.9833,0.84,0.83,
2026-07-01T01:59:38.423449+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,4-3,40-30,p1,0.6190476190476191,13,21,0.6923076923076923,9,13,0.75,6,8,0.34782608695652173,8,23,0.5714285714285714,8,14,0.6216216216216216,23,37,0.6521739130434783,15,23,0.42857142857142855,6,14,0.3076923076923077,4,13,0.25,2,8,7,3,0.982,0.84,0.8,
2026-07-01T02:00:00.653544+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,5-3,0-0,p2,0.6363636363636364,14,22,0.7142857142857143,10,14,0.75,6,8,0.34782608695652173,8,23,0.5714285714285714,8,14,0.6216216216216216,23,37,0.6521739130434783,15,23,0.42857142857142855,6,14,0.2857142857142857,4,14,0.25,2,8,8,2,0.9899,0.86,0.84,
2026-07-01T02:00:22.887439+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,5-3,0-0,p2,0.6363636363636364,14,22,0.7142857142857143,10,14,0.75,6,8,0.34782608695652173,8,23,0.5714285714285714,8,14,0.6216216216216216,23,37,0.6521739130434783,15,23,0.42857142857142855,6,14,0.2857142857142857,4,14,0.25,2,8,8,2,0.9894,0.86,0.85,
2026-07-01T02:00:45.104515+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,5-3,0-0,p2,0.6363636363636364,14,22,0.7142857142857143,10,14,0.75,6,8,0.34782608695652173,8,23,0.5714285714285714,8,14,0.6216216216216216,23,37,0.6521739130434783,15,23,0.42857142857142855,6,14,0.2857142857142857,4,14,0.25,2,8,8,2,0.988,0.86,0.85,
2026-07-01T02:01:07.237396+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,5-3,0-15,p2,0.6363636363636364,14,22,0.7142857142857143,10,14,0.75,6,8,0.34782608695652173,8,23,0.5333333333333333,8,15,0.6052631578947368,23,38,0.6521739130434783,15,23,0.4666666666666667,7,15,0.2857142857142857,4,14,0.25,2,8,7,3,0.9859,0.85,0.83,
2026-07-01T02:01:28.168903+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,5-3,15-15,p2,0.6363636363636364,14,22,0.7142857142857143,10,14,0.75,6,8,0.375,9,24,0.5333333333333333,8,15,0.6153846153846154,24,39,0.625,15,24,0.4666666666666667,7,15,0.2857142857142857,4,14,0.25,2,8,7,3,0.9905,0.85,0.84,
2026-07-01T02:01:49.208854+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,5-3,15-15,p2,0.6363636363636364,14,22,0.7142857142857143,10,14,0.75,6,8,0.375,9,24,0.5333333333333333,8,15,0.6153846153846154,24,39,0.625,15,24,0.4666666666666667,7,15,0.2857142857142857,4,14,0.25,2,8,7,3,0.9898,0.86,0.84,
2026-07-01T02:02:11.272760+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,5-3,15-30,p2,0.6363636363636364,14,22,0.7142857142857143,10,14,0.75,6,8,0.375,9,24,0.5333333333333333,8,15,0.6153846153846154,24,39,0.625,15,24,0.4666666666666667,7,15,0.2857142857142857,4,14,0.25,2,8,6,4,0.9906,0.85,0.84,
2026-07-01T02:02:33.502233+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,5-3,15-30,p2,0.6363636363636364,14,22,0.7142857142857143,10,14,0.75,6,8,0.375,9,24,0.5,8,16,0.6,24,40,0.625,15,24,0.5,8,16,0.2857142857142857,4,14,0.25,2,8,6,4,0.9862,0.86,0.83,
2026-07-01T02:03:21.050486+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,5-3,15-40,p2,0.6363636363636364,14,22,0.7142857142857143,10,14,0.75,6,8,0.36,9,25,0.5,8,16,0.6097560975609756,25,41,0.64,16,25,0.5,8,16,0.2857142857142857,4,14,0.25,2,8,5,5,0.9819,0.84,0.83,
2026-07-01T02:03:43.093394+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,5-3,30-40,p2,0.6363636363636364,14,22,0.7142857142857143,10,14,0.75,6,8,0.38461538461538464,10,26,0.5,8,16,0.6190476190476191,26,42,0.6153846153846154,16,26,0.5,8,16,0.2857142857142857,4,14,0.25,2,8,6,4,0.9876,0.85,0.84,
2026-07-01T02:04:05.364656+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,5-3,30-40,p2,0.6363636363636364,14,22,0.7142857142857143,10,14,0.75,6,8,0.38461538461538464,10,26,0.5,8,16,0.6190476190476191,26,42,0.6153846153846154,16,26,0.5,8,16,0.2857142857142857,4,14,0.25,2,8,6,4,0.9875,0.85,0.84,
2026-07-01T02:04:27.486153+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,5-4,0-0,p1,0.6363636363636364,14,22,0.7142857142857143,10,14,0.75,6,8,0.38461538461538464,10,26,0.47058823529411764,8,17,0.6046511627906976,26,43,0.6153846153846154,16,26,0.5294117647058824,9,17,0.2857142857142857,4,14,0.25,2,8,6,4,0.9845,0.85,0.84,
2026-07-01T02:04:49.513271+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,5-4,0-0,p1,0.6363636363636364,14,22,0.7142857142857143,10,14,0.75,6,8,0.38461538461538464,10,26,0.47058823529411764,8,17,0.6046511627906976,26,43,0.6153846153846154,16,26,0.5294117647058824,9,17,0.2857142857142857,4,14,0.25,2,8,5,5,0.9817,0.85,0.84,
2026-07-01T02:05:10.498627+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,5-4,0-0,p1,0.6363636363636364,14,22,0.7142857142857143,10,14,0.75,6,8,0.38461538461538464,10,26,0.47058823529411764,8,17,0.6046511627906976,26,43,0.6153846153846154,16,26,0.5294117647058824,9,17,0.2857142857142857,4,14,0.25,2,8,5,5,0.9809,0.85,0.84,
2026-07-01T02:05:31.650248+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,5-4,0-0,p1,0.6363636363636364,14,22,0.7142857142857143,10,14,0.75,6,8,0.38461538461538464,10,26,0.47058823529411764,8,17,0.6046511627906976,26,43,0.6153846153846154,16,26,0.5294117647058824,9,17,0.2857142857142857,4,14,0.25,2,8,5,5,0.9833,0.85,0.84,
2026-07-01T02:05:54.142811+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,5-4,0-0,p1,0.6521739130434783,15,23,0.7333333333333333,11,15,0.75,6,8,0.38461538461538464,10,26,0.47058823529411764,8,17,0.6046511627906976,26,43,0.6153846153846154,16,26,0.5294117647058824,9,17,0.26666666666666666,4,15,0.25,2,8,5,5,0.9875,0.86,0.85,
2026-07-01T02:06:16.050923+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,5-4,30-0,p1,0.6666666666666666,16,24,0.75,12,16,0.75,6,8,0.38461538461538464,10,26,0.47058823529411764,8,17,0.6046511627906976,26,43,0.6153846153846154,16,26,0.5294117647058824,9,17,0.25,4,16,0.25,2,8,6,4,0.991,0.87,0.85,
2026-07-01T02:06:37.053289+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,5-4,30-0,p1,0.6666666666666666,16,24,0.75,12,16,0.75,6,8,0.38461538461538464,10,26,0.47058823529411764,8,17,0.6046511627906976,26,43,0.6153846153846154,16,26,0.5294117647058824,9,17,0.25,4,16,0.25,2,8,6,4,0.9906,0.87,0.84,
2026-07-01T02:06:59.715616+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,5-4,40-0,p1,0.68,17,25,0.7647058823529411,13,17,0.75,6,8,0.38461538461538464,10,26,0.47058823529411764,8,17,0.6046511627906976,26,43,0.6153846153846154,16,26,0.5294117647058824,9,17,0.23529411764705882,4,17,0.25,2,8,6,4,0.9936,0.88,0.86,
2026-07-01T02:07:21.572236+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,6-4 0-0,0-0,p2,0.6923076923076923,18,26,0.7777777777777778,14,18,0.75,6,8,0.38461538461538464,10,26,0.47058823529411764,8,17,0.6046511627906976,26,43,0.6153846153846154,16,26,0.5294117647058824,9,17,0.2222222222222222,4,18,0.25,2,8,6,4,0.9959,0.88,0.87,
2026-07-01T02:07:43.328558+00:00,KXATPCHALLENGERMATCH-26JUN30BARFIC-BAR,Ozan Baris,Juan Pablo Ficovich,6-4 0-0,0-0,p2,0.6923076923076923,18,26,0.7777777777777778,14,18,0.75,6,8,0.38461538461538464,10,26,0.47058823529411764,8,17,0.6046511627906976,26,43,0.6153846153846154,16,26,0.5294117647058824,9,17,0.2222222222222222,4,18,0.25,2,8,6,4,0.9943,0.88,0.87,
