tourney_year_id,tourney_order,tourney_type,tourney_name,tourney_id,tourney_slug,tourney_location,tourney_date,year,tourney_start_day,tourney_start_month,tourney_start_year,tourney_end_day,tourney_end_month,tourney_end_year,tourney_surface,tourney_url_suffix
2025-375,7,ATP 250,Montpellier,375,montpellier,"Montpellier, France","27 January - 2 February, 2025",2025,27,1,2025,2,2,2025,,/en/tournaments/montpellier/375/overview
2025-8096,8,undefined,Davis Cup Qualifiers 1st Rd,8096,davis-cup-qualifiers-1st-rd,"Multiple Locations,","31 January - 2 February, 2025",2025,31,1,2025,2,2,2025,,/en/tournaments/davis-cup-qualifiers-1st-rd/8096/overview
2025-424,9,ATP 500,Dallas,424,dallas,"Dallas, United States","3 - 9 February, 2025",2025,3,2,2025,9,2,2025,,/en/tournaments/dallas/424/overview
2025-407,10,ATP 500,Rotterdam,407,rotterdam,"Rotterdam, Netherlands","3 - 9 February, 2025",2025,3,2,2025,9,2,2025,,/en/tournaments/rotterdam/407/overview
2025-496,11,ATP 250,Marseille,496,lyon,"Marseille, France","10 - 16 February, 2025",2025,10,2,2025,16,2,2025,,/en/tournaments/lyon/496/overview
2025-499,12,ATP 250,Delray Beach,499,delray-beach,"Delray Beach, United States","10 - 16 February, 2025",2025,10,2,2025,16,2,2025,,/en/tournaments/delray-beach/499/overview
2025-506,13,ATP 250,Buenos Aires,506,buenos-aires,"Buenos Aires, Argentina","10 - 16 February, 2025",2025,10,2,2025,16,2,2025,,/en/tournaments/buenos-aires/506/overview
2025-451,14,ATP 500,Doha,451,doha,"Doha, Qatar","17 - 22 February, 2025",2025,17,2,2025,22,2,2025,,/en/tournaments/doha/451/overview
2025-6932,15,ATP 500,Rio de Janeiro,6932,rio-de-janeiro,"Rio de Janeiro, Brazil","17 - 23 February, 2025",2025,17,2,2025,23,2,2025,,/en/tournaments/rio-de-janeiro/6932/overview
2025-495,16,ATP 500,Dubai,495,dubai,"Dubai, United Arab Emirates","24 February - 1 March, 2025",2025,24,2,2025,1,3,2025,,/en/tournaments/dubai/495/overview
2025-807,17,ATP 500,Acapulco,807,acapulco,"Acapulco, Mexico","24 February - 1 March, 2025",2025,24,2,2025,1,3,2025,,/en/tournaments/acapulco/807/overview
2025-8996,18,ATP 250,Santiago,8996,santiago,"Santiago, Chile","24 February - 2 March, 2025",2025,24,2,2025,2,3,2025,,/en/tournaments/santiago/8996/overview
2025-404,19,Masters 1000,ATP Masters 1000 Indian Wells,404,indian-wells,"Indian Wells, United States","5 - 16 March, 2025",2025,5,3,2025,16,3,2025,,/en/tournaments/indian-wells/404/overview
2025-403,20,Masters 1000,ATP Masters 1000 Miami,403,miami,"Miami, United States","19 - 30 March, 2025",2025,19,3,2025,30,3,2025,,/en/tournaments/miami/403/overview
2025-717,21,ATP 250,Houston,717,houston,"Houston, United States","31 March - 6 April, 2025",2025,31,3,2025,6,4,2025,,/en/tournaments/houston/717/overview
2025-4462,22,ATP 250,Bucharest,4462,bucharest,"Bucharest, Romania","31 March - 6 April, 2025",2025,31,3,2025,6,4,2025,,/en/tournaments/bucharest/4462/overview
2025-360,23,ATP 250,Marrakech,360,marrakech,"Marrakech, Morocco","31 March - 6 April, 2025",2025,31,3,2025,6,4,2025,,/en/tournaments/marrakech/360/overview
2025-410,24,Masters 1000,ATP Masters 1000 Monte-Carlo,410,monte-carlo,"Monte-Carlo, Monaco","6 - 13 April, 2025",2025,6,4,2025,13,4,2025,,/en/tournaments/monte-carlo/410/overview
2025-425,25,ATP 500,Barcelona,425,barcelona,"Barcelona, Spain","14 - 20 April, 2025",2025,14,4,2025,20,4,2025,,/en/tournaments/barcelona/425/overview
2025-308,26,ATP 500,Munich,308,munich,"Munich, Germany","14 - 20 April, 2025",2025,14,4,2025,20,4,2025,,/en/tournaments/munich/308/overview
2025-1536,27,Masters 1000,ATP Masters 1000 Madrid,1536,madrid,"Madrid, Spain","23 April - 4 May, 2025",2025,23,4,2025,4,5,2025,,/en/tournaments/madrid/1536/overview
2025-416,28,Masters 1000,ATP Masters 1000 Rome,416,rome,"Rome, Italy","7 - 18 May, 2025",2025,7,5,2025,18,5,2025,,/en/tournaments/rome/416/overview
2025-414,29,ATP 500,Hamburg,414,hamburg,"Hamburg, Germany","18 - 24 May, 2025",2025,18,5,2025,24,5,2025,,/en/tournaments/hamburg/414/overview
2025-322,30,ATP 250,Geneva,322,geneva,"Geneva, Switzerland","18 - 24 May, 2025",2025,18,5,2025,24,5,2025,,/en/tournaments/geneva/322/overview
2025-520,31,Grand Slam,Roland Garros,520,roland-garros,"Paris, France","25 May - 8 June, 2025",2025,25,5,2025,8,6,2025,,/en/tournaments/roland-garros/520/overview
2025-321,32,ATP 250,Stuttgart,321,stuttgart,"Stuttgart, Germany","9 - 15 June, 2025",2025,9,6,2025,15,6,2025,,/en/tournaments/stuttgart/321/overview
2025-440,33,ATP 250,'s-Hertogenbosch,440,s-hertogenbosch,"'s-Hertogenbosch, Netherlands","9 - 15 June, 2025",2025,9,6,2025,15,6,2025,,/en/tournaments/s-hertogenbosch/440/overview
2025-500,34,ATP 500,Halle,500,halle,"Halle, Germany","16 - 22 June, 2025",2025,16,6,2025,22,6,2025,,/en/tournaments/halle/500/overview
2025-311,35,ATP 500,London / Queen's Club,311,london,"London, Great Britain","16 - 22 June, 2025",2025,16,6,2025,22,6,2025,,/en/tournaments/london/311/overview
