tourney_year_id,tourney_order,tourney_type,tourney_name,tourney_id,tourney_slug,tourney_location,tourney_date,year,tourney_start_day,tourney_start_month,tourney_start_year,tourney_end_day,tourney_end_month,tourney_end_year,tourney_surface,tourney_url_suffix
2023-9410,58,ATP 250,Astana,9410,almaty,"Astana, Kazakhstan","27 September - 3 October, 2023",2023,27,9,2023,3,10,2023,,/en/tournaments/almaty/9410/overview
2023-747,59,ATP 500,Beijing,747,beijing,"Beijing, China","28 September - 4 October, 2023",2023,28,9,2023,4,10,2023,,/en/tournaments/beijing/747/overview
2023-5014,60,Masters 1000,ATP Masters 1000 Shanghai,5014,shanghai,"Shanghai, China","4 - 15 October, 2023",2023,4,10,2023,15,10,2023,,/en/tournaments/shanghai/5014/overview
2023-329,61,ATP 500,Tokyo,329,tokyo,"Tokyo, Japan","16 - 22 October, 2023",2023,16,10,2023,22,10,2023,,/en/tournaments/tokyo/329/overview
2023-7485,62,ATP 250,Antwerp,7485,brussels,"Antwerp, Belgium","16 - 22 October, 2023",2023,16,10,2023,22,10,2023,,/en/tournaments/brussels/7485/overview
2023-429,63,ATP 250,Stockholm,429,stockholm,"Stockholm, Sweden","16 - 22 October, 2023",2023,16,10,2023,22,10,2023,,/en/tournaments/stockholm/429/overview
2023-337,64,ATP 500,Vienna,337,vienna,"Vienna, Austria","23 - 29 October, 2023",2023,23,10,2023,29,10,2023,,/en/tournaments/vienna/337/overview
2023-328,65,ATP 500,Basel,328,basel,"Basel, Switzerland","23 - 29 October, 2023",2023,23,10,2023,29,10,2023,,/en/tournaments/basel/328/overview
2023-352,66,Masters 1000,ATP Masters 1000 Paris,352,paris,"Paris, France","30 October - 5 November, 2023",2023,30,10,2023,5,11,2023,,/en/tournaments/paris/352/overview
2023-341,67,ATP 250,Metz,341,metz,"Metz, France","5 - 11 November, 2023",2023,5,11,2023,11,11,2023,,/en/tournaments/metz/341/overview
2023-7434,68,ATP 250,Sofia,7434,sofia,"Sofia, Bulgaria","6 - 11 November, 2023",2023,6,11,2023,11,11,2023,,/en/tournaments/sofia/7434/overview
2023-605,69,ATP Finals,Nitto ATP Finals,605,nitto-atp-finals,"Turin, Italy","12 - 19 November, 2023",2023,12,11,2023,19,11,2023,,/en/tournaments/nitto-atp-finals/605/overview
2023-8099,70,undefined,Davis Cup Finals,8099,davis-cup-finals,"Malaga, Spain","21 - 26 November, 2023",2023,21,11,2023,26,11,2023,,/en/tournaments/davis-cup-finals/8099/overview
2023-7696,71,Next Gen Finals,Next Gen ATP Finals,7696,next-gen-atp-finals,"Jeddah, Saudi Arabia","28 November - 2 December, 2023",2023,28,11,2023,2,12,2023,,/en/tournaments/next-gen-atp-finals/7696/overview
2024-339,2,ATP 250,Brisbane,339,brisbane,"Brisbane, Australia","31 December, 2023 - 7 January, 2024",2024,31,12,2023,7,1,2024,,/en/tournaments/brisbane/339/overview
2024-336,3,ATP 250,Hong Kong,336,hong-kong,"Hong Kong, China","1 - 7 January, 2024",2024,1,1,2024,7,1,2024,,/en/tournaments/hong-kong/336/overview
2024-8998,4,ATP 250,Adelaide,8998,adelaide,"Adelaide, Australia","8 - 13 January, 2024",2024,8,1,2024,13,1,2024,,/en/tournaments/adelaide/8998/overview
2024-301,5,ATP 250,Auckland,301,auckland,"Auckland, New Zealand","8 - 13 January, 2024",2024,8,1,2024,13,1,2024,,/en/tournaments/auckland/301/overview
2024-580,6,Grand Slam,Australian Open,580,australian-open,"Melbourne, Australia","14 - 28 January, 2024",2024,14,1,2024,28,1,2024,,/en/tournaments/australian-open/580/overview
2024-375,7,ATP 250,Montpellier,375,montpellier,"Montpellier, France","29 January - 4 February, 2024",2024,29,1,2024,4,2,2024,,/en/tournaments/montpellier/375/overview
2024-8096,8,undefined,Davis Cup Qualifiers,8096,davis-cup-qualifiers-1st-rd,"Multiple Locations,","1 - 4 February, 2024",2024,1,2,2024,4,2,2024,,/en/tournaments/davis-cup-qualifiers-1st-rd/8096/overview
2024-424,9,ATP 250,Dallas,424,dallas,"Dallas, United States","5 - 11 February, 2024",2024,5,2,2024,11,2,2024,,/en/tournaments/dallas/424/overview
2024-496,10,ATP 250,Marseille,496,lyon,"Marseille, France","5 - 11 February, 2024",2024,5,2,2024,11,2,2024,,/en/tournaments/lyon/496/overview
2024-9158,11,ATP 250,Cordoba,9158,cordoba,"Cordoba, Argentina","5 - 11 February, 2024",2024,5,2,2024,11,2,2024,,/en/tournaments/cordoba/9158/overview
2024-407,12,ATP 500,Rotterdam,407,rotterdam,"Rotterdam, Netherlands","12 - 18 February, 2024",2024,12,2,2024,18,2,2024,,/en/tournaments/rotterdam/407/overview
2024-499,13,ATP 250,Delray Beach,499,delray-beach,"Delray Beach, United States","12 - 18 February, 2024",2024,12,2,2024,18,2,2024,,/en/tournaments/delray-beach/499/overview
2024-506,14,ATP 250,Buenos Aires,506,buenos-aires,"Buenos Aires, Argentina","12 - 18 February, 2024",2024,12,2,2024,18,2,2024,,/en/tournaments/buenos-aires/506/overview
2024-6932,15,ATP 500,Rio de Janeiro,6932,rio-de-janeiro,"Rio de Janeiro, Brazil","19 - 25 February, 2024",2024,19,2,2024,25,2,2024,,/en/tournaments/rio-de-janeiro/6932/overview
2024-451,16,ATP 250,Doha,451,doha,"Doha, Qatar","19 - 24 February, 2024",2024,19,2,2024,24,2,2024,,/en/tournaments/doha/451/overview
2024-7480,17,ATP 250,Los Cabos,7480,los-cabos,"Los Cabos, Mexico","19 - 24 February, 2024",2024,19,2,2024,24,2,2024,,/en/tournaments/los-cabos/7480/overview
2024-495,18,ATP 500,Dubai,495,dubai,"Dubai, United Arab Emirates","26 February - 2 March, 2024",2024,26,2,2024,2,3,2024,,/en/tournaments/dubai/495/overview
2024-807,19,ATP 500,Acapulco,807,acapulco,"Acapulco, Mexico","26 February - 2 March, 2024",2024,26,2,2024,2,3,2024,,/en/tournaments/acapulco/807/overview
2024-8996,20,ATP 250,Santiago,8996,santiago,"Santiago, Chile","26 February - 3 March, 2024",2024,26,2,2024,3,3,2024,,/en/tournaments/santiago/8996/overview
2024-404,21,Masters 1000,ATP Masters 1000 Indian Wells,404,indian-wells,"Indian Wells, United States","6 - 17 March, 2024",2024,6,3,2024,17,3,2024,,/en/tournaments/indian-wells/404/overview
2024-403,22,Masters 1000,ATP Masters 1000 Miami,403,miami,"Miami, United States","20 - 31 March, 2024",2024,20,3,2024,31,3,2024,,/en/tournaments/miami/403/overview
2024-717,23,ATP 250,Houston,717,houston,"Houston, United States","1 - 7 April, 2024",2024,1,4,2024,7,4,2024,,/en/tournaments/houston/717/overview
2024-7290,24,ATP 250,Estoril,7290,estoril,"Estoril, Portugal","1 - 7 April, 2024",2024,1,4,2024,7,4,2024,,/en/tournaments/estoril/7290/overview
2024-360,25,ATP 250,Marrakech,360,marrakech,"Marrakech, Morocco","1 - 7 April, 2024",2024,1,4,2024,7,4,2024,,/en/tournaments/marrakech/360/overview
2024-410,26,Masters 1000,ATP Masters 1000 Monte-Carlo,410,monte-carlo,"Monte-Carlo, Monaco","7 - 14 April, 2024",2024,7,4,2024,14,4,2024,,/en/tournaments/monte-carlo/410/overview
2024-425,27,ATP 500,Barcelona,425,barcelona,"Barcelona, Spain","15 - 21 April, 2024",2024,15,4,2024,21,4,2024,,/en/tournaments/barcelona/425/overview
2024-4462,28,ATP 250,Bucharest,4462,bucharest,"Bucharest, Romania","15 - 21 April, 2024",2024,15,4,2024,21,4,2024,,/en/tournaments/bucharest/4462/overview
2024-308,29,ATP 250,Munich,308,munich,"Munich, Germany","15 - 21 April, 2024",2024,15,4,2024,21,4,2024,,/en/tournaments/munich/308/overview
