player_id,player_slug,full_name,year,surface,Aces,DoubleFaults,FirstServePercentage,FirstServePointsWonPercentage,SecondServePointsWonPercentage,BreakPointsFaced,BreakPointsSavedPercentage,ServiceGamesPlayed,ServiceGamesWonPercentage,ServicePointsWonPercentage,FirstServeReturnPointsWonPercentage,SecondServeReturnPointsWonPercentage,BreakPointsOpportunities,BreakPointsConvertedPercentage,ReturnGamesPlayed,ReturnGamesWonPercentage,ReturnPointsWonPercentage,TotalPointsWonPercentage
z355,alexander-zverev,Alexander Zverev,2024,all,797,183,71,77,55,370,70,1141,90,70,30,51,684,37,1141,22,38,53
z355,alexander-zverev,Alexander Zverev,2024,Hard,488,113,71,76,56,242,73,701,91,70,29,51,375,39,695,21,37,53
z355,alexander-zverev,Alexander Zverev,2024,Clay,197,57,72,75,51,114,62,319,87,68,32,54,254,34,325,27,40,53
z355,alexander-zverev,Alexander Zverev,2024,Grass,112,13,72,84,58,14,79,121,98,77,25,46,55,35,121,16,33,54
z355,alexander-zverev,Alexander Zverev,2024,Carpet,,,,,,,,,,,,,,,,,,
z355,alexander-zverev,Alexander Zverev,2023,all,613,222,71,74,50,406,64,964,85,67,29,52,618,37,970,23,38,52
z355,alexander-zverev,Alexander Zverev,2023,Hard,377,107,72,73,50,227,61,566,84,67,28,50,356,32,568,20,36,51
z355,alexander-zverev,Alexander Zverev,2023,Clay,156,97,68,74,46,155,65,306,82,65,33,57,226,43,310,32,42,53
z355,alexander-zverev,Alexander Zverev,2023,Grass,80,18,69,80,57,24,83,92,96,73,21,49,36,36,92,14,32,52
z355,alexander-zverev,Alexander Zverev,2023,Carpet,,,,,,,,,,,,,,,,,,
d643,novak-djokovic,Novak Djokovic,all,all,7808,3128,65,74,55,6878,65,17106,86,68,34,55,11899,44,16621,32,42,54
d643,novak-djokovic,Novak Djokovic,all,Hard,5020,2006,64,75,56,3927,66,10298,87,68,33,56,6989,45,9987,31,42,55
d643,novak-djokovic,Novak Djokovic,all,Clay,1375,698,66,71,54,2118,63,4405,82,65,37,55,3350,45,4283,35,44,54
d643,novak-djokovic,Novak Djokovic,all,Grass,1344,403,67,78,56,769,69,2301,90,70,31,53,1495,40,2252,26,40,54
d643,novak-djokovic,Novak Djokovic,all,Carpet,69,21,61,73,50,64,73,102,83,64,28,54,65,35,99,23,37,51
d643,novak-djokovic,Novak Djokovic,2026,all,63,27,67,73,53,73,70,139,84,67,30,55,85,39,134,25,39,53
d643,novak-djokovic,Novak Djokovic,2026,Hard,63,27,67,73,53,73,70,139,84,67,30,55,85,39,134,25,39,53
