player_id,player_slug,full_name,year,surface,Aces,DoubleFaults,FirstServePercentage,FirstServePointsWonPercentage,SecondServePointsWonPercentage,BreakPointsFaced,BreakPointsSavedPercentage,ServiceGamesPlayed,ServiceGamesWonPercentage,ServicePointsWonPercentage,FirstServeReturnPointsWonPercentage,SecondServeReturnPointsWonPercentage,BreakPointsOpportunities,BreakPointsConvertedPercentage,ReturnGamesPlayed,ReturnGamesWonPercentage,ReturnPointsWonPercentage,TotalPointsWonPercentage
mm58,daniil-medvedev,Daniil Medvedev,2026,all,208,102,67,74,49,141,64,321,84,66,35,54,216,48,320,32,42,54
mm58,daniil-medvedev,Daniil Medvedev,2026,Hard,194,84,67,74,50,120,68,277,86,66,35,55,193,47,274,33,42,54
mm58,daniil-medvedev,Daniil Medvedev,2026,Clay,14,18,62,75,40,21,43,44,73,62,35,46,23,52,46,26,39,50
mm58,daniil-medvedev,Daniil Medvedev,2026,Grass,,,,,,,,,,,,,,,,,,
mm58,daniil-medvedev,Daniil Medvedev,2026,Carpet,,,,,,,,,,,,,,,,,,
mm58,daniil-medvedev,Daniil Medvedev,2025,all,534,277,61,76,49,336,60,784,83,66,33,53,552,37,789,26,40,52
mm58,daniil-medvedev,Daniil Medvedev,2025,Hard,402,201,61,77,50,246,62,559,83,66,33,54,417,36,565,27,41,53
mm58,daniil-medvedev,Daniil Medvedev,2025,Clay,50,39,59,71,46,71,52,125,73,60,38,51,86,47,125,32,42,51
mm58,daniil-medvedev,Daniil Medvedev,2025,Grass,82,37,65,78,51,19,68,100,94,69,25,46,49,29,99,14,32,50
mm58,daniil-medvedev,Daniil Medvedev,2025,Carpet,,,,,,,,,,,,,,,,,,
mm58,daniil-medvedev,Daniil Medvedev,2024,all,426,295,61,73,49,426,61,821,80,64,32,53,521,44,833,27,40,52
mm58,daniil-medvedev,Daniil Medvedev,2024,Hard,280,204,60,73,49,282,62,526,79,64,33,54,376,43,536,30,41,52
mm58,daniil-medvedev,Daniil Medvedev,2024,Clay,55,50,61,71,47,96,57,164,75,62,34,50,92,47,166,26,40,51
mm58,daniil-medvedev,Daniil Medvedev,2024,Grass,91,41,66,75,54,48,65,131,87,68,27,52,53,49,131,20,36,52
mm58,daniil-medvedev,Daniil Medvedev,2024,Carpet,,,,,,,,,,,,,,,,,,
mm58,daniil-medvedev,Daniil Medvedev,2023,all,547,314,64,75,50,419,67,923,85,66,34,54,622,46,922,31,41,54
mm58,daniil-medvedev,Daniil Medvedev,2023,Hard,388,212,64,76,51,281,70,620,86,67,34,55,430,47,616,33,42,54
mm58,daniil-medvedev,Daniil Medvedev,2023,Clay,61,62,61,72,48,79,58,158,79,63,36,52,112,47,159,33,42,53
mm58,daniil-medvedev,Daniil Medvedev,2023,Grass,98,40,67,76,47,59,61,145,84,67,30,51,80,43,147,23,38,52
mm58,daniil-medvedev,Daniil Medvedev,2023,Carpet,,,,,,,,,,,,,,,,,,
m0ej,lorenzo-musetti,Lorenzo Musetti,all,all,1188,641,65,70,53,1932,59,3853,80,64,30,51,2285,40,3859,24,38,51
