match_id,match_code,tournament_name,event_year,number_of_sets,match_status,round_short
1931,MS023,Astana Open,2023,2,F,R32
1932,MS024,Astana Open,2023,3,F,R32
1934,MS026,Astana Open,2023,3,F,R32
1930,MS028,Astana Open,2023,2,F,R32
1939,QS007,Astana Open,2023,3,F,Q2
1942,QS013,Astana Open,2023,2,F,Q1
1938,QS014,Astana Open,2023,2,F,Q1
1940,QS015,Astana Open,2023,3,F,Q1
1516,MS001,Atlanta Open,2023,3,F,F
1515,MS003,Atlanta Open,2023,3,F,SF
1517,MS007,Atlanta Open,2023,2,F,QF
1518,MS008,Atlanta Open,2023,2,F,R16
1519,MS013,Atlanta Open,2023,3,F,R16
1520,MS014,Atlanta Open,2023,2,F,R16
1524,MS017,Atlanta Open,2023,2,F,R32
1522,MS019,Atlanta Open,2023,2,F,R32
1526,MS026,Atlanta Open,2023,2,F,R32
1523,MS029,Atlanta Open,2023,3,F,R32
1525,QS004,Atlanta Open,2023,3,F,Q2
1528,QS007,Atlanta Open,2023,3,F,Q2
1527,QS010,Atlanta Open,2023,3,F,Q1
1529,QS015,Atlanta Open,2023,2,F,Q1
75,MS001,Australian Open,2023,3,F,F
76,MS002,Australian Open,2023,4,F,SF
85,MS003,Australian Open,2023,3,F,SF
88,MS004,Australian Open,2023,3,F,QF
77,MS005,Australian Open,2023,3,F,QF
87,MS006,Australian Open,2023,3,F,QF
78,MS007,Australian Open,2023,4,F,QF
93,MS008,Australian Open,2023,3,F,R16
95,MS009,Australian Open,2023,5,F,R16
80,MS010,Australian Open,2023,5,F,R16
91,MS011,Australian Open,2023,4,F,R16
81,MS012,Australian Open,2023,5,F,R16
79,MS013,Australian Open,2023,3,F,R16
83,MS015,Australian Open,2023,4,F,R16
92,MS016,Australian Open,2023,3,F,R32
100,MS017,Australian Open,2023,4,F,R32
104,MS018,Australian Open,2023,5,F,R32
99,MS019,Australian Open,2023,3,F,R32
96,MS020,Australian Open,2023,3,F,R32
90,MS021,Australian Open,2023,5,F,R32
103,MS022,Australian Open,2023,5,F,R32
98,MS023,Australian Open,2023,4,F,R32
97,MS024,Australian Open,2023,3,F,R32
89,MS025,Australian Open,2023,3,F,R32
101,MS026,Australian Open,2023,3,F,R32
86,MS027,Australian Open,2023,3,F,R32
105,MS028,Australian Open,2023,3,F,R32
94,MS031,Australian Open,2023,3,F,R32
112,MS033,Australian Open,2023,3,F,R64
116,MS034,Australian Open,2023,4,F,R64
117,MS035,Australian Open,2023,3,F,R64
102,MS036,Australian Open,2023,5,F,R64
118,MS037,Australian Open,2023,3,F,R64
121,MS038,Australian Open,2023,3,F,R64
107,MS040,Australian Open,2023,3,F,R64
123,MS041,Australian Open,2023,3,F,R64
125,MS042,Australian Open,2023,4,F,R64
115,MS043,Australian Open,2023,3,F,R64
111,MS046,Australian Open,2023,4,F,R64
109,MS047,Australian Open,2023,5,F,R64
114,MS052,Australian Open,2023,5,F,R64
106,MS053,Australian Open,2023,4,F,R64
120,MS054,Australian Open,2023,3,F,R64
108,MS056,Australian Open,2023,5,F,R64
126,MS057,Australian Open,2023,3,F,R64
113,MS059,Australian Open,2023,4,F,R64
119,MS061,Australian Open,2023,5,F,R64
124,MS062,Australian Open,2023,5,F,R64
110,MS063,Australian Open,2023,4,F,R64
152,MS065,Australian Open,2023,5,F,R128
149,MS066,Australian Open,2023,3,F,R128
150,MS069,Australian Open,2023,3,F,R128
139,MS071,Australian Open,2023,4,F,R128
138,MS072,Australian Open,2023,3,F,R128
156,MS073,Australian Open,2023,4,F,R128
129,MS075,Australian Open,2023,4,F,R128
143,MS076,Australian Open,2023,4,F,R128
160,MS077,Australian Open,2023,3,F,R128
122,MS079,Australian Open,2023,3,F,R128
132,MS080,Australian Open,2023,3,F,R128
148,MS081,Australian Open,2023,5,F,R128
146,MS082,Australian Open,2023,3,F,R128
140,MS084,Australian Open,2023,5,F,R128
127,MS088,Australian Open,2023,3,F,R128
153,MS093,Australian Open,2023,5,F,R128
154,MS094,Australian Open,2023,5,F,R128
131,MS099,Australian Open,2023,4,F,R128
137,MS105,Australian Open,2023,4,F,R128
133,MS107,Australian Open,2023,3,F,R128
145,MS109,Australian Open,2023,4,F,R128
134,MS111,Australian Open,2023,3,F,R128
136,MS112,Australian Open,2023,4,F,R128
147,MS113,Australian Open,2023,5,F,R128
157,MS114,Australian Open,2023,5,F,R128
141,MS115,Australian Open,2023,3,F,R128
151,MS118,Australian Open,2023,5,F,R128
128,MS119,Australian Open,2023,5,F,R128
142,MS122,Australian Open,2023,5,F,R128
135,MS124,Australian Open,2023,5,F,R128
155,MS125,Australian Open,2023,3,F,R128
144,MS126,Australian Open,2023,4,F,R128
130,MS127,Australian Open,2023,4,F,R128
166,QS016,Australian Open,2023,2,F,Q3
163,QS018,Australian Open,2023,2,F,Q3
168,QS019,Australian Open,2023,2,F,Q3
164,QS020,Australian Open,2023,2,F,Q3
158,QS022,Australian Open,2023,2,F,Q3
169,QS023,Australian Open,2023,2,F,Q3
173,QS024,Australian Open,2023,2,F,Q3
165,QS025,Australian Open,2023,2,F,Q3
162,QS028,Australian Open,2023,2,F,Q3
167,QS031,Australian Open,2023,2,F,Q3
171,QS032,Australian Open,2023,2,F,Q2
184,QS033,Australian Open,2023,3,F,Q2
170,QS035,Australian Open,2023,3,F,Q2
182,QS037,Australian Open,2023,3,F,Q2
187,QS039,Australian Open,2023,3,F,Q2
159,QS040,Australian Open,2023,3,F,Q2
172,QS041,Australian Open,2023,3,F,Q2
161,QS044,Australian Open,2023,2,F,Q2
174,QS045,Australian Open,2023,2,F,Q2
186,QS046,Australian Open,2023,3,F,Q2
189,QS047,Australian Open,2023,3,F,Q2
179,QS049,Australian Open,2023,2,F,Q2
180,QS051,Australian Open,2023,3,F,Q2
176,QS054,Australian Open,2023,2,F,Q2
177,QS056,Australian Open,2023,2,F,Q2
181,QS057,Australian Open,2023,3,F,Q2
175,QS059,Australian Open,2023,3,F,Q2
178,QS061,Australian Open,2023,3,F,Q2
183,QS063,Australian Open,2023,2,F,Q2
199,QS069,Australian Open,2023,2,F,Q1
190,QS072,Australian Open,2023,3,F,Q1
205,QS074,Australian Open,2023,2,F,Q1
195,QS075,Australian Open,2023,2,F,Q1
203,QS077,Australian Open,2023,2,F,Q1
210,QS078,Australian Open,2023,3,F,Q1
191,QS079,Australian Open,2023,2,F,Q1
197,QS081,Australian Open,2023,2,F,Q1
198,QS082,Australian Open,2023,2,F,Q1
192,QS083,Australian Open,2023,2,F,Q1
213,QS085,Australian Open,2023,2,F,Q1
206,QS089,Australian Open,2023,3,F,Q1
215,QS093,Australian Open,2023,2,F,Q1
212,QS094,Australian Open,2023,3,F,Q1
216,QS098,Australian Open,2023,2,F,Q1
200,QS099,Australian Open,2023,2,F,Q1
202,QS102,Australian Open,2023,3,F,Q1
188,QS104,Australian Open,2023,2,F,Q1
204,QS106,Australian Open,2023,2,F,Q1
185,QS108,Australian Open,2023,2,F,Q1
201,QS109,Australian Open,2023,2,F,Q1
193,QS113,Australian Open,2023,2,F,Q1
194,QS114,Australian Open,2023,2,F,Q1
196,QS115,Australian Open,2023,2,F,Q1
209,QS125,Australian Open,2023,2,F,Q1
791,MS001,BMW Open by American Express,2023,3,F,F
786,MS002,BMW Open by American Express,2023,2,F,SF
790,MS003,BMW Open by American Express,2023,2,F,SF
787,MS004,BMW Open by American Express,2023,2,F,QF
792,MS005,BMW Open by American Express,2023,3,F,QF
794,MS006,BMW Open by American Express,2023,2,F,QF
795,MS008,BMW Open by American Express,2023,2,F,R16
814,MS009,BMW Open by American Express,2023,2,F,R16
799,MS010,BMW Open by American Express,2023,2,F,R16
797,MS015,BMW Open by American Express,2023,3,F,R16
812,MS017,BMW Open by American Express,2023,3,F,R32
803,MS018,BMW Open by American Express,2023,2,F,R32
800,MS019,BMW Open by American Express,2023,3,F,R32
813,MS021,BMW Open by American Express,2023,2,F,R32
801,MS022,BMW Open by American Express,2023,2,F,R32
802,MS024,BMW Open by American Express,2023,3,F,R32
811,QS005,BMW Open by American Express,2023,3,F,Q2
804,QS007,BMW Open by American Express,2023,2,F,Q2
805,QS011,BMW Open by American Express,2023,2,F,Q1
818,QS014,BMW Open by American Express,2023,3,F,Q1
2126,MS001,BNP Paribas Nordic Open,2023,3,F,F
2127,MS002,BNP Paribas Nordic Open,2023,2,F,SF
2128,MS003,BNP Paribas Nordic Open,2023,2,F,SF
2133,MS004,BNP Paribas Nordic Open,2023,2,F,QF
2129,MS005,BNP Paribas Nordic Open,2023,2,F,QF
2135,MS006,BNP Paribas Nordic Open,2023,3,F,QF
2130,MS007,BNP Paribas Nordic Open,2023,2,F,QF
2136,MS008,BNP Paribas Nordic Open,2023,2,F,R16
2139,MS009,BNP Paribas Nordic Open,2023,3,F,R16
2134,MS011,BNP Paribas Nordic Open,2023,2,F,R16
2143,MS013,BNP Paribas Nordic Open,2023,2,F,R16
2138,MS014,BNP Paribas Nordic Open,2023,2,F,R16
2132,MS015,BNP Paribas Nordic Open,2023,2,F,R16
2147,MS018,BNP Paribas Nordic Open,2023,2,F,R32
2140,MS019,BNP Paribas Nordic Open,2023,2,F,R32
2145,MS022,BNP Paribas Nordic Open,2023,3,F,R32
2142,MS025,BNP Paribas Nordic Open,2023,2,F,R32
2144,MS026,BNP Paribas Nordic Open,2023,2,F,R32
2141,MS028,BNP Paribas Nordic Open,2023,2,F,R32
2179,MS029,BNP Paribas Nordic Open,2023,3,F,R32
2148,MS030,BNP Paribas Nordic Open,2023,2,F,R32
2146,QS004,BNP Paribas Nordic Open,2023,3,F,Q2
2149,QS005,BNP Paribas Nordic Open,2023,2,F,Q2
2150,QS006,BNP Paribas Nordic Open,2023,2,F,Q2
2153,QS007,BNP Paribas Nordic Open,2023,3,F,Q2
2152,QS008,BNP Paribas Nordic Open,2023,2,F,Q1
2156,QS009,BNP Paribas Nordic Open,2023,2,F,Q1
2154,QS010,BNP Paribas Nordic Open,2023,2,F,Q1
2158,QS011,BNP Paribas Nordic Open,2023,3,F,Q1
2157,QS013,BNP Paribas Nordic Open,2023,2,F,Q1
476,MS001,BNP Paribas Open,2023,2,F,F
459,MS002,BNP Paribas Open,2023,2,F,SF
461,MS003,BNP Paribas Open,2023,2,F,SF
477,MS004,BNP Paribas Open,2023,2,F,QF
462,MS005,BNP Paribas Open,2023,3,F,QF
463,MS006,BNP Paribas Open,2023,2,F,QF
481,MS007,BNP Paribas Open,2023,2,F,QF
465,MS008,BNP Paribas Open,2023,2,F,R16
480,MS009,BNP Paribas Open,2023,3,F,R16
483,MS010,BNP Paribas Open,2023,2,F,R16
467,MS011,BNP Paribas Open,2023,2,F,R16
479,MS012,BNP Paribas Open,2023,3,F,R16
468,MS013,BNP Paribas Open,2023,2,F,R16
466,MS014,BNP Paribas Open,2023,2,F,R16
469,MS015,BNP Paribas Open,2023,2,F,R16
470,MS016,BNP Paribas Open,2023,2,F,R32
473,MS018,BNP Paribas Open,2023,3,F,R32
493,MS019,BNP Paribas Open,2023,2,F,R32
485,MS020,BNP Paribas Open,2023,2,F,R32
478,MS021,BNP Paribas Open,2023,2,F,R32
492,MS022,BNP Paribas Open,2023,2,F,R32
488,MS023,BNP Paribas Open,2023,3,F,R32
474,MS026,BNP Paribas Open,2023,3,F,R32
484,MS027,BNP Paribas Open,2023,2,F,R32
472,MS028,BNP Paribas Open,2023,2,F,R32
475,MS029,BNP Paribas Open,2023,3,F,R32
494,MS030,BNP Paribas Open,2023,2,F,R32
498,MS031,BNP Paribas Open,2023,2,F,R32
516,MS034,BNP Paribas Open,2023,2,F,R64
491,MS036,BNP Paribas Open,2023,2,F,R64
509,MS037,BNP Paribas Open,2023,2,F,R64
490,MS039,BNP Paribas Open,2023,2,F,R64
501,MS040,BNP Paribas Open,2023,3,F,R64
505,MS041,BNP Paribas Open,2023,2,F,R64
495,MS043,BNP Paribas Open,2023,2,F,R64
496,MS045,BNP Paribas Open,2023,2,F,R64
502,MS046,BNP Paribas Open,2023,2,F,R64
504,MS047,BNP Paribas Open,2023,2,F,R64
486,MS048,BNP Paribas Open,2023,2,F,R64
503,MS053,BNP Paribas Open,2023,2,F,R64
515,MS054,BNP Paribas Open,2023,2,F,R64
487,MS056,BNP Paribas Open,2023,2,F,R64
500,MS057,BNP Paribas Open,2023,2,F,R64
499,MS058,BNP Paribas Open,2023,3,F,R64
489,MS059,BNP Paribas Open,2023,2,F,R64
512,MS060,BNP Paribas Open,2023,2,F,R64
497,MS061,BNP Paribas Open,2023,3,F,R64
482,MS063,BNP Paribas Open,2023,3,F,R64
506,MS069,BNP Paribas Open,2023,2,F,R128
514,MS073,BNP Paribas Open,2023,3,F,R128
520,MS074,BNP Paribas Open,2023,3,F,R128
513,MS078,BNP Paribas Open,2023,3,F,R128
521,MS093,BNP Paribas Open,2023,3,F,R128
522,MS106,BNP Paribas Open,2023,3,F,R128
507,MS109,BNP Paribas Open,2023,2,F,R128
517,MS113,BNP Paribas Open,2023,2,F,R128
511,MS117,BNP Paribas Open,2023,2,F,R128
519,MS118,BNP Paribas Open,2023,2,F,R128
508,MS121,BNP Paribas Open,2023,2,F,R128
510,MS122,BNP Paribas Open,2023,2,F,R128
518,MS126,BNP Paribas Open,2023,2,F,R128
525,QS018,BNP Paribas Open,2023,2,F,Q2
526,QS020,BNP Paribas Open,2023,3,F,Q2
523,QS021,BNP Paribas Open,2023,3,F,Q2
529,QS022,BNP Paribas Open,2023,3,F,Q2
531,QS023,BNP Paribas Open,2023,2,F,Q2
534,QS026,BNP Paribas Open,2023,2,F,Q2
524,QS027,BNP Paribas Open,2023,2,F,Q2
550,QS035,BNP Paribas Open,2023,2,F,Q1
547,QS037,BNP Paribas Open,2023,3,F,Q1
527,QS040,BNP Paribas Open,2023,3,F,Q1
538,QS042,BNP Paribas Open,2023,2,F,Q1
532,QS043,BNP Paribas Open,2023,2,F,Q1
539,QS046,BNP Paribas Open,2023,2,F,Q1
533,QS049,BNP Paribas Open,2023,2,F,Q1
535,QS051,BNP Paribas Open,2023,3,F,Q1
528,QS052,BNP Paribas Open,2023,2,F,Q1
549,QS053,BNP Paribas Open,2023,2,F,Q1
530,QS054,BNP Paribas Open,2023,3,F,Q1
548,QS055,BNP Paribas Open,2023,3,F,Q1
1159,MS001,BOSS OPEN,2023,3,F,F
1162,MS002,BOSS OPEN,2023,3,F,SF
1179,MS003,BOSS OPEN,2023,2,F,SF
1169,MS005,BOSS OPEN,2023,2,F,QF
1165,MS006,BOSS OPEN,2023,3,F,QF
1166,MS007,BOSS OPEN,2023,2,F,QF
1175,MS009,BOSS OPEN,2023,2,F,R16
1171,MS010,BOSS OPEN,2023,3,F,R16
1174,MS011,BOSS OPEN,2023,2,F,R16
1170,MS013,BOSS OPEN,2023,2,F,R16
1173,MS014,BOSS OPEN,2023,3,F,R16
1190,MS018,BOSS OPEN,2023,2,F,R32
1178,MS019,BOSS OPEN,2023,2,F,R32
1191,MS022,BOSS OPEN,2023,2,F,R32
1172,MS023,BOSS OPEN,2023,2,F,R32
1176,MS024,BOSS OPEN,2023,2,F,R32
1193,MS026,BOSS OPEN,2023,3,F,R32
1177,MS029,BOSS OPEN,2023,3,F,R32
1180,QS006,BOSS OPEN,2023,2,F,Q2
1182,QS009,BOSS OPEN,2023,2,F,Q1
1181,QS012,BOSS OPEN,2023,2,F,Q1
1196,QS013,BOSS OPEN,2023,3,F,Q1
1183,QS014,BOSS OPEN,2023,3,F,Q1
723,MS001,Barcelona Open Banc Sabadell,2023,2,F,F
720,MS002,Barcelona Open Banc Sabadell,2023,2,F,SF
739,MS003,Barcelona Open Banc Sabadell,2023,3,F,SF
