match_id,match_code,tournament_name,event_year,number_of_sets,match_status,round_short
1255,MS002,Cinch Championships,2023,2,F,SF
1232,MS003,Cinch Championships,2023,2,F,SF
1237,MS004,Cinch Championships,2023,2,F,QF
1238,MS005,Cinch Championships,2023,2,F,QF
1234,MS006,Cinch Championships,2023,3,F,QF
1241,MS007,Cinch Championships,2023,2,F,QF
1239,MS008,Cinch Championships,2023,2,F,R16
1242,MS009,Cinch Championships,2023,2,F,R16
1236,MS010,Cinch Championships,2023,2,F,R16
1257,MS011,Cinch Championships,2023,3,F,R16
1235,MS013,Cinch Championships,2023,2,F,R16
1240,MS014,Cinch Championships,2023,3,F,R16
1233,MS015,Cinch Championships,2023,2,F,R16
1243,MS016,Cinch Championships,2023,3,F,R32
1247,MS017,Cinch Championships,2023,2,F,R32
1250,MS019,Cinch Championships,2023,3,F,R32
1244,MS020,Cinch Championships,2023,2,F,R32
1249,MS021,Cinch Championships,2023,2,F,R32
1267,MS022,Cinch Championships,2023,2,F,R32
1246,MS023,Cinch Championships,2023,2,F,R32
1248,MS026,Cinch Championships,2023,3,F,R32
1265,MS028,Cinch Championships,2023,2,F,R32
1251,MS030,Cinch Championships,2023,2,F,R32
1253,QS004,Cinch Championships,2023,2,F,Q2
1252,QS005,Cinch Championships,2023,2,F,Q2
1254,QS007,Cinch Championships,2023,3,F,Q2
1268,QS008,Cinch Championships,2023,2,F,Q1
1256,QS010,Cinch Championships,2023,2,F,Q1
1270,QS014,Cinch Championships,2023,2,F,Q1
1259,QS015,Cinch Championships,2023,3,F,Q1
225,MS002,Cordoba Open,2023,2,F,SF
232,MS004,Cordoba Open,2023,3,F,QF
230,MS005,Cordoba Open,2023,3,F,QF
227,MS010,Cordoba Open,2023,2,F,R16
237,MS021,Cordoba Open,2023,2,F,R32
231,MS022,Cordoba Open,2023,2,F,R32
228,MS024,Cordoba Open,2023,3,F,R32
233,MS026,Cordoba Open,2023,2,F,R32
236,MS029,Cordoba Open,2023,2,F,R32
234,QS005,Cordoba Open,2023,2,F,Q2
242,QS007,Cordoba Open,2023,3,F,Q2
247,QS009,Cordoba Open,2023,3,F,Q1
241,QS010,Cordoba Open,2023,2,F,Q1
245,QS012,Cordoba Open,2023,2,F,Q1
235,QS014,Cordoba Open,2023,3,F,Q1
244,QS015,Cordoba Open,2023,3,F,Q1
207,MS002,Dallas Open,2023,3,F,SF
214,MS004,Dallas Open,2023,3,F,QF
208,MS005,Dallas Open,2023,2,F,QF
219,MS010,Dallas Open,2023,2,F,R16
222,MS011,Dallas Open,2023,2,F,R16
218,MS015,Dallas Open,2023,2,F,R16
211,MS019,Dallas Open,2023,3,F,R32
217,MS021,Dallas Open,2023,3,F,R32
223,MS025,Dallas Open,2023,2,F,R32
220,QS005,Dallas Open,2023,2,F,Q2
226,QS007,Dallas Open,2023,2,F,Q2
224,QS009,Dallas Open,2023,2,F,Q1
221,QS010,Dallas Open,2023,2,F,Q1
229,QS013,Dallas Open,2023,2,F,Q1
286,MS001,Delray Beach Open,2023,3,F,F
279,MS002,Delray Beach Open,2023,2,F,SF
287,MS003,Delray Beach Open,2023,3,F,SF
281,MS004,Delray Beach Open,2023,2,F,QF
