match_id,event_year,tournament,p1_id,p2_id,p1_prob,outcome,brier,bucket
41,2023,Tata Open Maharashtra,db63,mv14,0.521,1,0.22944099999999998,"(0.5, 0.6]"
42,2023,Tata Open Maharashtra,cf01,bg23,0.5812,1,0.17539343999999996,"(0.5, 0.6]"
43,2023,ASB Classic,db63,rh16,0.4334,1,0.32103556,"(0.4, 0.5]"
44,2023,Tata Open Maharashtra,c0e9,kh56,1.0,1,0.0,"(0.9, 1.0]"
45,2023,ASB Classic,n771,l0bv,0.5674,1,0.18714276,"(0.5, 0.6]"
46,2023,ASB Classic,n771,gc88,0.5636,1,0.19044496,"(0.5, 0.6]"
47,2023,ASB Classic,n771,b0cd,0.5164,1,0.23386896000000004,"(0.5, 0.6]"
48,2023,ASB Classic,hb64,s0s1,0.4936,1,0.25644095999999994,"(0.4, 0.5]"
49,2023,ASB Classic,b0cd,hb64,0.5486,1,0.20376196000000002,"(0.5, 0.6]"
50,2023,ASB Classic,l0bv,mj08,0.6266,1,0.13942755999999998,"(0.6, 0.7]"
51,2023,ASB Classic,gb88,bk92,0.513,1,0.237169,"(0.5, 0.6]"
52,2023,ASB Classic,s0s1,b0bi,0.4976,1,0.25240576,"(0.4, 0.5]"
53,2023,ASB Classic,db63,mu94,0.5318,1,0.21921123999999995,"(0.5, 0.6]"
54,2023,ASB Classic,l0bv,bf23,0.725,1,0.07562500000000001,"(0.7, 0.8]"
55,2023,ASB Classic,hb64,mv14,0.5758,1,0.17994564000000002,"(0.5, 0.6]"
56,2023,Adelaide International 2,d0co,pl56,0.6196,1,0.14470415999999997,"(0.6, 0.7]"
57,2023,Adelaide International 2,kf17,d0co,0.3962,1,0.36457444,"(0.3, 0.4]"
58,2023,ASB Classic,mj08,ae14,0.416,1,0.3410560000000001,"(0.4, 0.5]"
59,2023,Adelaide International 2,kf17,bd06,0.5304,1,0.22052416000000002,"(0.5, 0.6]"
60,2023,Adelaide International 2,bd06,dh50,0.4412,1,0.31225743999999994,"(0.4, 0.5]"
61,2023,Adelaide International 2,ke29,hh06,0.6368,1,0.13191424,"(0.6, 0.7]"
62,2023,Adelaide International 2,pl56,o483,0.5992,1,0.16064064000000003,"(0.5, 0.6]"
63,2023,Adelaide International 2,hh06,rc91,0.4996,1,0.25040016,"(0.4, 0.5]"
64,2023,Adelaide International 2,kf17,m0fh,0.5704,1,0.18455616,"(0.5, 0.6]"
65,2023,Adelaide International 2,mk66,e687,0.5366,1,0.21473956000000002,"(0.5, 0.6]"
66,2023,ASB Classic,l0bv,ch12,0.5504,1,0.20214016,"(0.5, 0.6]"
