ranking,ranking_points,full_name,first_name,last_name,player_url,player_id,scrape_date
62,863,Ignacio Buse,Ignacio,Buse,https://www.atptour.com/en/players/ignacio-buse/b0id/overview,b0id,2026-05-05
63,862,Jenson Brooksby,Jenson,Brooksby,https://www.atptour.com/en/players/jenson-brooksby/b0cd/overview,b0cd,2026-05-05
64,860,Daniel Altmaier,Daniel,Altmaier,https://www.atptour.com/en/players/daniel-altmaier/ae14/overview,ae14,2026-05-05
65,840,Sebastian Baez,Sebastian,Baez,https://www.atptour.com/en/players/sebastian-baez/b0bi/overview,b0bi,2026-05-05
66,830,Lorenzo Sonego,Lorenzo,Sonego,https://www.atptour.com/en/players/lorenzo-sonego/su87/overview,su87,2026-05-05
67,804,Hamad Medjedovic,Hamad,Medjedovic,https://www.atptour.com/en/players/hamad-medjedovic/m0jf/overview,m0jf,2026-05-05
68,802,Raphael Collignon,Raphael,Collignon,https://www.atptour.com/en/players/raphael-collignon/c0jp/overview,c0jp,2026-05-05
69,801,Thiago Agustin Tirante,Thiago Agustin,Tirante,https://www.atptour.com/en/players/thiago-agustin-tirante/t0a1/overview,t0a1,2026-05-05
70,795,Miomir Kecmanovic,Miomir,Kecmanovic,https://www.atptour.com/en/players/miomir-kecmanovic/ki95/overview,ki95,2026-05-05
71,788,Valentin Royer,Valentin,Royer,https://www.atptour.com/en/players/valentin-royer/r0eb/overview,r0eb,2026-05-05
72,776,Juan Manuel Cerundolo,Juan Manuel,Cerundolo,https://www.atptour.com/en/players/juan-manuel-cerundolo/c0c8/overview,c0c8,2026-05-05
73,770,Arthur Cazaux,Arthur,Cazaux,https://www.atptour.com/en/players/arthur-cazaux/c0h0/overview,c0h0,2026-05-05
74,768,Reilly Opelka,Reilly,Opelka,https://www.atptour.com/en/players/reilly-opelka/o522/overview,o522,2026-05-05
75,765,Stefanos Tsitsipas,Stefanos,Tsitsipas,https://www.atptour.com/en/players/stefanos-tsitsipas/te51/overview,te51,2026-05-05
76,747,Kamil Majchrzak,Kamil,Majchrzak,https://www.atptour.com/en/players/kamil-majchrzak/mq75/overview,mq75,2026-05-05
77,745,Marcos Giron,Marcos,Giron,https://www.atptour.com/en/players/marcos-giron/gc88/overview,gc88,2026-05-05
78,743,Marco Trungelliti,Marco,Trungelliti,https://www.atptour.com/en/players/marco-trungelliti/ta29/overview,ta29,2026-05-05
79,740,Dino Prizmic,Dino,Prizmic,https://www.atptour.com/en/players/dino-prizmic/p0hw/overview,p0hw,2026-05-05
80,737,Mattia Bellucci,Mattia,Bellucci,https://www.atptour.com/en/players/mattia-bellucci/b0gg/overview,b0gg,2026-05-05
81,722,James Duckworth,James,Duckworth,https://www.atptour.com/en/players/james-duckworth/d994/overview,d994,2026-05-05
82,711,Sebastian Ofner,Sebastian,Ofner,https://www.atptour.com/en/players/sebastian-ofner/o513/overview,o513,2026-05-05
83,709,Jan Lennard Struff,Jan Lennard,Struff,https://www.atptour.com/en/players/jan-lennard-struff/sl28/overview,sl28,2026-05-05
84,703,Adolfo Daniel Vallejo,Adolfo Daniel,Vallejo,https://www.atptour.com/en/players/adolfo-daniel-vallejo/v0dp/overview,v0dp,2026-05-05
85,698,Aleksandr Shevchenko,Aleksandr,Shevchenko,https://www.atptour.com/en/players/aleksandr-shevchenko/s0h2/overview,s0h2,2026-05-05
86,696,Daniel Merida,Daniel,Merida,https://www.atptour.com/en/players/daniel-merida/m0n7/overview,m0n7,2026-05-05
87,674,Damir Dzumhur,Damir,Dzumhur,https://www.atptour.com/en/players/damir-dzumhur/d923/overview,d923,2026-05-05
88,669,Yibing Wu,Yibing,Wu,https://www.atptour.com/en/players/yibing-wu/wb32/overview,wb32,2026-05-05
89,669,Patrick Kypson,Patrick,Kypson,https://www.atptour.com/en/players/patrick-kypson/k0a3/overview,k0a3,2026-05-05
90,666,Zachary Svajda,Zachary,Svajda,https://www.atptour.com/en/players/zachary-svajda/s0k7/overview,s0k7,2026-05-05
91,663,Pablo Carreno Busta,Pablo Carreno,Busta,https://www.atptour.com/en/players/pablo-carreno-busta/cd85/overview,cd85,2026-05-05
92,660,Eliot Spizzirri,Eliot,Spizzirri,https://www.atptour.com/en/players/eliot-spizzirri/s0ja/overview,s0ja,2026-05-05
93,653,Quentin Halys,Quentin,Halys,https://www.atptour.com/en/players/quentin-halys/hb64/overview,hb64,2026-05-05
94,639,Martin Landaluce,Martin,Landaluce,https://www.atptour.com/en/players/martin-landaluce/l0il/overview,l0il,2026-05-05
95,639,Aleksandar Kovacevic,Aleksandar,Kovacevic,https://www.atptour.com/en/players/aleksandar-kovacevic/k0az/overview,k0az,2026-05-05
96,637,Rinky Hijikata,Rinky,Hijikata,https://www.atptour.com/en/players/rinky-hijikata/h0bh/overview,h0bh,2026-05-05
97,636,Luca Van Assche,Luca Van,Assche,https://www.atptour.com/en/players/luca-van-assche/v0dz/overview,v0dz,2026-05-05
98,629,Roberto Bautista Agut,Roberto Bautista,Agut,https://www.atptour.com/en/players/roberto-bautista-agut/bd06/overview,bd06,2026-05-05
99,626,Aleksandar Vukic,Aleksandar,Vukic,https://www.atptour.com/en/players/aleksandar-vukic/v832/overview,v832,2026-05-05
100,625,Matteo Berrettini,Matteo,Berrettini,https://www.atptour.com/en/players/matteo-berrettini/bk40/overview,bk40,2026-05-05
101,616,Benjamin Bonzi,Benjamin,Bonzi,https://www.atptour.com/en/players/benjamin-bonzi/bm95/overview,bm95,2026-05-05
102,610,Jesper De Jong,Jesper De,Jong,https://www.atptour.com/en/players/jesper-de-jong/d0c1/overview,d0c1,2026-05-05
103,608,Adam Walton,Adam,Walton,https://www.atptour.com/en/players/adam-walton/w09e/overview,w09e,2026-05-05
104,602,Cristian Garin,Cristian,Garin,https://www.atptour.com/en/players/cristian-garin/gd64/overview,gd64,2026-05-05
105,601,Alexandre Muller,Alexandre,Muller,https://www.atptour.com/en/players/alexandre-muller/mp20/overview,mp20,2026-05-05
106,596,Matteo Arnaldi,Matteo,Arnaldi,https://www.atptour.com/en/players/matteo-arnaldi/a0fc/overview,a0fc,2026-05-05
107,596,Sho Shimabukuro,Sho,Shimabukuro,https://www.atptour.com/en/players/sho-shimabukuro/sy67/overview,sy67,2026-05-05
108,594,Emilio Nava,Emilio,Nava,https://www.atptour.com/en/players/emilio-nava/n0am/overview,n0am,2026-05-05
109,594,Titouan Droguet,Titouan,Droguet,https://www.atptour.com/en/players/titouan-droguet/d0dw/overview,d0dw,2026-05-05
110,583,Coleman Wong,Coleman,Wong,https://www.atptour.com/en/players/coleman-wong/w0bh/overview,w0bh,2026-05-05
111,576,Filip Misolic,Filip,Misolic,https://www.atptour.com/en/players/filip-misolic/m0jz/overview,m0jz,2026-05-05
112,575,Francesco Maestrelli,Francesco,Maestrelli,https://www.atptour.com/en/players/francesco-maestrelli/m0if/overview,m0if,2026-05-05
113,571,Alex Molcan,Alex,Molcan,https://www.atptour.com/en/players/alex-molcan/mv14/overview,mv14,2026-05-05
114,570,Francisco Comesana,Francisco,Comesana,https://www.atptour.com/en/players/francisco-comesana/c0df/overview,c0df,2026-05-05
115,547,Martin Damm,Martin,Damm,https://www.atptour.com/en/players/martin-damm/d0dt/overview,d0dt,2026-05-05
116,547,Dalibor Svrcina,Dalibor,Svrcina,https://www.atptour.com/en/players/dalibor-svrcina/s0gd/overview,s0gd,2026-05-05
117,539,Nikoloz Basilashvili,Nikoloz,Basilashvili,https://www.atptour.com/en/players/nikoloz-basilashvili/bg23/overview,bg23,2026-05-05
118,535,Hugo Gaston,Hugo,Gaston,https://www.atptour.com/en/players/hugo-gaston/g09o/overview,g09o,2026-05-05
119,529,Jaime Faria,Jaime,Faria,https://www.atptour.com/en/players/jaime-faria/f0f2/overview,f0f2,2026-05-05
