tourney_year_id,tourney_name,tourney_type,year,match_header,match_link,p1_name,p1_id,p1_rank,p2_name,p2_id,p2_rank,winner_name,winner_id,p1_score,p2_score
2023-2843,Adelaide 1,ATP 250,2023,Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms001,Novak Djokovic,d643,1,Sebastian Korda,k0ah,,Novak Djokovic,d643,6;7;6,7;6;4
2023-2843,Adelaide 1,ATP 250,2023,Semi-Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms002,Novak Djokovic,d643,1,Daniil Medvedev,mm58,3,Novak Djokovic,d643,6;6,3;4
2023-2843,Adelaide 1,ATP 250,2023,Semi-Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms003,Sebastian Korda,k0ah,,Yoshihito Nishioka,n732,,Sebastian Korda,k0ah,7;1,6;0
2023-2843,Adelaide 1,ATP 250,2023,Quarter-Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms004,Novak Djokovic,d643,1,Denis Shapovalov,su55,7,Novak Djokovic,d643,6;6,3;4
2023-2843,Adelaide 1,ATP 250,2023,Quarter-Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms005,Daniil Medvedev,mm58,3,Karen Khachanov,ke29,8,Daniil Medvedev,mm58,6;6,3;3
2023-2843,Adelaide 1,ATP 250,2023,Quarter-Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms006,Sebastian Korda,k0ah,,Jannik Sinner,s0ag,6,Sebastian Korda,k0ah,7;6,5;1
2023-2843,Adelaide 1,ATP 250,2023,Quarter-Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms007,Yoshihito Nishioka,n732,,Alexei Popyrin,p09z,Q,Yoshihito Nishioka,n732,7;6;6,6;7;2
2023-2843,Adelaide 1,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms008,Novak Djokovic,d643,1,Quentin Halys,hb64,,Novak Djokovic,d643,7;7,6;6
2023-2843,Adelaide 1,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms010,Daniil Medvedev,mm58,3,Miomir Kecmanovic,ki95,,Daniil Medvedev,mm58,6;6,0;3
2023-2843,Adelaide 1,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms012,Jannik Sinner,s0ag,6,Thanasi Kokkinakis,kd46,WC,Jannik Sinner,s0ag,7;6,6;4
2023-2843,Adelaide 1,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms009,Denis Shapovalov,su55,7,Roman Safiullin,sx50,Q,Denis Shapovalov,su55,6;6,4;3
2023-2843,Adelaide 1,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms011,Karen Khachanov,ke29,8,Jack Draper,d0co,,Karen Khachanov,ke29,6;6,4;2
2023-2843,Adelaide 1,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms013,Sebastian Korda,k0ah,,Roberto Bautista Agut,bd06,,Sebastian Korda,k0ah,6;6,4;4
2023-2843,Adelaide 1,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms014,Yoshihito Nishioka,n732,,Mackenzie McDonald,mk66,,Yoshihito Nishioka,n732,6;6,4;3
2023-2843,Adelaide 1,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms015,Alexei Popyrin,p09z,Q,Marcos Giron,gc88,,Alexei Popyrin,p09z,4;6;6,6;4;3
2023-2843,Adelaide 1,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms016,Novak Djokovic,d643,1,Constant Lestienne,lb66,,Novak Djokovic,d643,6;6,3;2
2023-2843,Adelaide 1,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms031,Alexei Popyrin,p09z,Q,Felix Auger-Aliassime,ag37,2,Alexei Popyrin,p09z,6;7,4;6
2023-2843,Adelaide 1,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms020,Daniil Medvedev,mm58,3,Lorenzo Sonego,su87,,Daniil Medvedev,mm58,7;2,6;1
2023-2843,Adelaide 1,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms027,Roberto Bautista Agut,bd06,,Andrey Rublev,re44,4,Roberto Bautista Agut,bd06,4;6;6,6;3;4
2023-2843,Adelaide 1,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms028,Yoshihito Nishioka,n732,,Holger Rune,r0dg,5,Yoshihito Nishioka,n732,2;6;6,6;4;4
2023-2843,Adelaide 1,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms024,Jannik Sinner,s0ag,6,Kyle Edmund,e831,PR,Jannik Sinner,s0ag,6;6,3;2
2023-2843,Adelaide 1,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms019,Denis Shapovalov,su55,7,Rinky Hijikata,h0bh,Q,Denis Shapovalov,su55,2;6;6,6;4;3
2023-2843,Adelaide 1,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms023,Karen Khachanov,ke29,8,Pedro Cachin,cg04,,Karen Khachanov,ke29,6;6,2;4
2023-2843,Adelaide 1,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms022,Jack Draper,d0co,,Soonwoo Kwon,kf17,Q,Jack Draper,d0co,6;6,2;1
2023-2843,Adelaide 1,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms030,Marcos Giron,gc88,,Richard Gasquet,g628,,Marcos Giron,gc88,7;6;7,6;7;5
2023-2843,Adelaide 1,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms017,Quentin Halys,hb64,,Jordan Thompson,tc61,WC,Quentin Halys,hb64,6;6,3;4
2023-2843,Adelaide 1,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms021,Miomir Kecmanovic,ki95,,Christopher O'Connell,o483,WC,Miomir Kecmanovic,ki95,6;6,4;4
2023-2843,Adelaide 1,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms025,Thanasi Kokkinakis,kd46,WC,Maxime Cressy,c0bc,,Thanasi Kokkinakis,kd46,7;7,6;6
2023-2843,Adelaide 1,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms026,Sebastian Korda,k0ah,,Andy Murray,mc10,,Sebastian Korda,k0ah,7;6,6;3
2023-2843,Adelaide 1,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms029,Mackenzie McDonald,mk66,,Daniel Elahi Galan,ge33,,Mackenzie McDonald,mk66,6,3
2023-2843,Adelaide 1,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/ms018,Roman Safiullin,sx50,Q,Mikael Ymer,y268,,Roman Safiullin,sx50,6;6,4;2
2023-2843,Adelaide 1,ATP 250,2023,2nd Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/qs004,Soonwoo Kwon,kf17,1,Taro Daniel,da81,5,Soonwoo Kwon,kf17,7;4;7,6;6;6
2023-2843,Adelaide 1,ATP 250,2023,2nd Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/qs006,Roman Safiullin,sx50,3,Vasek Pospisil,pd07,7,Roman Safiullin,sx50,6;6;6,7;2;3
2023-2843,Adelaide 1,ATP 250,2023,2nd Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/qs007,Rinky Hijikata,h0bh,WC,James Duckworth,d994,,Rinky Hijikata,h0bh,7;6,5;4
2023-2843,Adelaide 1,ATP 250,2023,2nd Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/qs005,Alexei Popyrin,p09z,,Yibing Wu,wb32,,Alexei Popyrin,p09z,6;3;7,4;6;5
2023-2843,Adelaide 1,ATP 250,2023,1st Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/qs008,Soonwoo Kwon,kf17,1,Dominic Thiem,tb69,,Soonwoo Kwon,kf17,6;6,4;1
2023-2843,Adelaide 1,ATP 250,2023,1st Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/qs010,Yibing Wu,wb32,,Ugo Humbert,hh26,2,Yibing Wu,wb32,6;7,3;6
2023-2843,Adelaide 1,ATP 250,2023,1st Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/qs012,Roman Safiullin,sx50,3,Yannick Hanfmann,h997,,Roman Safiullin,sx50,6;6;6,7;4;4
2023-2843,Adelaide 1,ATP 250,2023,1st Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/qs014,Rinky Hijikata,h0bh,WC,Gregoire Barrere,bk24,4,Rinky Hijikata,h0bh,6;6,2;3
2023-2843,Adelaide 1,ATP 250,2023,1st Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/qs009,Taro Daniel,da81,5,Edward Winter,w0c4,WC,Taro Daniel,da81,6;6,1;0
2023-2843,Adelaide 1,ATP 250,2023,1st Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/qs015,James Duckworth,d994,,Ben Shelton,s0s1,6,James Duckworth,d994,6;7,3;6
2023-2843,Adelaide 1,ATP 250,2023,1st Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/qs013,Vasek Pospisil,pd07,7,John Millman,mh30,,Vasek Pospisil,pd07,7;6,5;2
2023-2843,Adelaide 1,ATP 250,2023,1st Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/2843/qs011,Alexei Popyrin,p09z,,Zhizhen Zhang,z371,8,Alexei Popyrin,p09z,6;6,2;3
2023-891,Pune,ATP 250,2023,Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms001,Tallon Griekspoor,gj37,,Benjamin Bonzi,bm95,,Tallon Griekspoor,gj37,4;7;6,6;5;3
2023-891,Pune,ATP 250,2023,Semi-Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms003,Benjamin Bonzi,bm95,,Botic van de Zandschulp,v812,2,Benjamin Bonzi,bm95,7;6;6,6;7;1
2023-891,Pune,ATP 250,2023,Semi-Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms002,Tallon Griekspoor,gj37,,Aslan Karatsev,kc56,8,Tallon Griekspoor,gj37,7;6,6;1
2023-891,Pune,ATP 250,2023,Quarter-Finals -,,Tallon Griekspoor,gj37,,Marin Cilic,c977,1,Tallon Griekspoor,gj37,,
2023-891,Pune,ATP 250,2023,Quarter-Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms007,Botic van de Zandschulp,v812,2,Maximilian Marterer,mn13,Q,Botic van de Zandschulp,v812,6;6,4;2
2023-891,Pune,ATP 250,2023,Quarter-Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms006,Benjamin Bonzi,bm95,,Filip Krajinovic,kb05,6,Benjamin Bonzi,bm95,7;6,6;4
2023-891,Pune,ATP 250,2023,Quarter-Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms005,Aslan Karatsev,kc56,8,Pedro Martinez,mo44,,Aslan Karatsev,kc56,6;6,1;2
2023-891,Pune,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms008,Marin Cilic,c977,1,Roberto Carballes Baena,cf59,,Marin Cilic,c977,6;3;6,3;6;1
2023-891,Pune,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms015,Botic van de Zandschulp,v812,2,Flavio Cobolli,c0e9,Q,Botic van de Zandschulp,v812,7;6,5;4
2023-891,Pune,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms013,Benjamin Bonzi,bm95,,Emil Ruusuvuori,rh24,3,Benjamin Bonzi,bm95,6;7,1;6
2023-891,Pune,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms010,Pedro Martinez,mo44,,Sebastian Baez,b0bi,4,Pedro Martinez,mo44,3;6;6,6;1;3
2023-891,Pune,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms012,Filip Krajinovic,kb05,6,Michael Mmoh,mp01,,Filip Krajinovic,kb05,2;6;6,6;3;4
2023-891,Pune,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms011,Aslan Karatsev,kc56,8,Tim van Rijthoven,v942,,Aslan Karatsev,kc56,7;7,6;6
2023-891,Pune,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms009,Tallon Griekspoor,gj37,,Marco Cecchinato,cf01,,Tallon Griekspoor,gj37,6;6,4;4
2023-891,Pune,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms014,Maximilian Marterer,mn13,Q,Laslo Djere,db63,,Maximilian Marterer,mn13,7;6,6;2
2023-891,Pune,ATP 250,2023,Round of 32 -,,Marin Cilic,c977,1,Bye,0,,Marin Cilic,c977,,
2023-891,Pune,ATP 250,2023,Round of 32 -,,Botic van de Zandschulp,v812,2,Bye,0,,Botic van de Zandschulp,v812,,
2023-891,Pune,ATP 250,2023,Round of 32 -,,Emil Ruusuvuori,rh24,3,Bye,0,,Emil Ruusuvuori,rh24,,
2023-891,Pune,ATP 250,2023,Round of 32 -,,Sebastian Baez,b0bi,4,Bye,0,,Sebastian Baez,b0bi,,
2023-891,Pune,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms028,Laslo Djere,db63,,Alex Molcan,mv14,5,Laslo Djere,db63,6;6,2;4
2023-891,Pune,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms024,Filip Krajinovic,kb05,6,Sumit Nagal,n897,WC,Filip Krajinovic,kb05,6;4;6,4;6;4
2023-891,Pune,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms019,Tallon Griekspoor,gj37,,Jaume Munar,mu94,7,Tallon Griekspoor,gj37,6;7,4;5
2023-891,Pune,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms023,Aslan Karatsev,kc56,8,Pablo Andujar,a596,,Aslan Karatsev,kc56,6;6,1;3
2023-891,Pune,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms026,Benjamin Bonzi,bm95,,Chun-Hsin Tseng,t0ap,,Benjamin Bonzi,bm95,6;6,0;3
2023-891,Pune,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms017,Roberto Carballes Baena,cf59,,Bernabe Zapata Miralles,z419,,Roberto Carballes Baena,cf59,6;7,1;5
2023-891,Pune,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms018,Marco Cecchinato,cf01,,Nikoloz Basilashvili,bg23,,Marco Cecchinato,cf01,6;6,2;2
2023-891,Pune,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms030,Flavio Cobolli,c0e9,Q,Mukund Sasikumar,mp13,WC,Flavio Cobolli,c0e9,6;7,4;5
2023-891,Pune,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms029,Maximilian Marterer,mn13,Q,Elias Ymer,y218,Q,Maximilian Marterer,mn13,6;3;6,2;6;3
2023-891,Pune,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms021,Pedro Martinez,mo44,,Ramkumar Ramanathan,rb56,Q,Pedro Martinez,mo44,3;7;6,6;5;3
2023-891,Pune,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms025,Michael Mmoh,mp01,,Manas Dhamne,d0ji,WC,Michael Mmoh,mp01,6;6,2;4
2023-891,Pune,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/ms022,Tim van Rijthoven,v942,,Radu Albot,a829,,Tim van Rijthoven,v942,6;6,4;4
2023-891,Pune,ATP 250,2023,2nd Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/qs005,Elias Ymer,y218,2,Yuki Bhambri,bf55,PR,Elias Ymer,y218,6;6,1;4
2023-891,Pune,ATP 250,2023,2nd Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/qs006,Ramkumar Ramanathan,rb56,WC,Mattia Bellucci,b0gg,3,Ramkumar Ramanathan,rb56,6;7,3;5
2023-891,Pune,ATP 250,2023,2nd Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/qs007,Maximilian Marterer,mn13,4,Nikola Milojevic,mm66,,Maximilian Marterer,mn13,6;6,2;3
2023-891,Pune,ATP 250,2023,2nd Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/qs004,Flavio Cobolli,c0e9,5,Zdenek Kolar,kh56,,Flavio Cobolli,c0e9,6;6,4;4
2023-891,Pune,ATP 250,2023,1st Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/qs010,Elias Ymer,y218,2,Miljan Zekic,z246,,Elias Ymer,y218,3,0
2023-891,Pune,ATP 250,2023,1st Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/qs012,Mattia Bellucci,b0gg,3,Vladyslav Orlov,o659,AL,Mattia Bellucci,b0gg,6;6,4;4
2023-891,Pune,ATP 250,2023,1st Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/qs014,Maximilian Marterer,mn13,4,Prajnesh Gunneswaran,ga94,,Maximilian Marterer,mn13,7;3;7,6;6;5
2023-891,Pune,ATP 250,2023,1st Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/qs009,Flavio Cobolli,c0e9,5,Aditya Vishal Balsekar,v0gi,WC,Flavio Cobolli,c0e9,6;6,3;0
2023-891,Pune,ATP 250,2023,1st Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/qs013,Ramkumar Ramanathan,rb56,WC,Otto Virtanen,v0am,6,Ramkumar Ramanathan,rb56,2;7;6,6;5;2
2023-891,Pune,ATP 250,2023,1st Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/qs015,Nikola Milojevic,mm66,,Nicholas David Ionel,i0a7,8,Nikola Milojevic,mm66,6;6,3;2
2023-891,Pune,ATP 250,2023,1st Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/qs011,Yuki Bhambri,bf55,PR,Diego Hidalgo,h928,AL,Yuki Bhambri,bf55,6;6,2;2
2023-891,Pune,ATP 250,2023,1st Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/891/qs008,Zdenek Kolar,kh56,,Sidharth Rawat,rb86,AL,Zdenek Kolar,kh56,6;6;6,1;7;1
2023-301,Auckland,ATP 250,2023,Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms001,Richard Gasquet,g628,,Cameron Norrie,n771,2,Richard Gasquet,g628,4;6;6,6;4;4
2023-301,Auckland,ATP 250,2023,Semi-Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms003,Cameron Norrie,n771,2,Jenson Brooksby,b0cd,,Cameron Norrie,n771,6;6,3;4
2023-301,Auckland,ATP 250,2023,Semi-Finals -,,Richard Gasquet,g628,,Constant Lestienne,lb66,,Richard Gasquet,g628,,
2023-301,Auckland,ATP 250,2023,Quarter-Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms007,Cameron Norrie,n771,2,Marcos Giron,gc88,,Cameron Norrie,n771,6;6;6,1;7;2
2023-301,Auckland,ATP 250,2023,Quarter-Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms006,Jenson Brooksby,b0cd,,Quentin Halys,hb64,,Jenson Brooksby,b0cd,7;7,6;6
2023-301,Auckland,ATP 250,2023,Quarter-Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms005,Richard Gasquet,g628,,David Goffin,gb88,,Richard Gasquet,g628,1;6;6,6;1;1
2023-301,Auckland,ATP 250,2023,Quarter-Finals -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms004,Constant Lestienne,lb66,,Laslo Djere,db63,,Constant Lestienne,lb66,2;7;7,6;6;5
2023-301,Auckland,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms008,Laslo Djere,db63,,Casper Ruud,rh16,1,Laslo Djere,db63,3;6;7,6;3;6
2023-301,Auckland,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms015,Cameron Norrie,n771,2,Jiri Lehecka,l0bv,Q,Cameron Norrie,n771,6;6;6,4;7;3
2023-301,Auckland,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms013,Jenson Brooksby,b0cd,,Diego Schwartzman,sm37,3,Jenson Brooksby,b0cd,6,1
2023-301,Auckland,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms010,Richard Gasquet,g628,,Joao Sousa,sh90,LL,Richard Gasquet,g628,7;6,6;2
2023-301,Auckland,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms014,Marcos Giron,gc88,,J.J. Wolf,w09g,,Marcos Giron,gc88,6;6,4;4
2023-301,Auckland,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms011,David Goffin,gb88,,Christopher Eubanks,e865,Q,David Goffin,gb88,6;6,2;4
2023-301,Auckland,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms012,Quentin Halys,hb64,,Ben Shelton,s0s1,WC,Quentin Halys,hb64,6;6,3;2
2023-301,Auckland,ATP 250,2023,Round of 16 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms009,Constant Lestienne,lb66,,Gregoire Barrere,bk24,Q,Constant Lestienne,lb66,1;7;7,6;6;5
2023-301,Auckland,ATP 250,2023,Round of 32 -,,Casper Ruud,rh16,1,Bye,0,,Casper Ruud,rh16,,
2023-301,Auckland,ATP 250,2023,Round of 32 -,,Cameron Norrie,n771,2,Bye,0,,Cameron Norrie,n771,,
2023-301,Auckland,ATP 250,2023,Round of 32 -,,Diego Schwartzman,sm37,3,Bye,0,,Diego Schwartzman,sm37,,
2023-301,Auckland,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms023,David Goffin,gb88,,Alexander Bublik,bk92,5,David Goffin,gb88,6;6,3;4
2023-301,Auckland,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms019,Gregoire Barrere,bk24,Q,John Isner,i186,6,Gregoire Barrere,bk24,6;7;6,7;6;3
2023-301,Auckland,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms024,Ben Shelton,s0s1,WC,Sebastian Baez,b0bi,7,Ben Shelton,s0s1,7;6,6;1
2023-301,Auckland,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms028,J.J. Wolf,w09g,,Adrian Mannarino,me82,8,J.J. Wolf,w09g,6;7,4;6
2023-301,Auckland,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms026,Jenson Brooksby,b0cd,,Fabio Fognini,f510,,Jenson Brooksby,b0cd,6;6;6,7;1;3
2023-301,Auckland,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms017,Laslo Djere,db63,,Jaume Munar,mu94,,Laslo Djere,db63,3;6;7,6;1;6
2023-301,Auckland,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms022,Christopher Eubanks,e865,Q,Ugo Humbert,hh26,WC,Christopher Eubanks,e865,7;7,6;6
2023-301,Auckland,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms021,Richard Gasquet,g628,,Kiranpal Pannu,p0ed,WC,Richard Gasquet,g628,6;6,3;1
2023-301,Auckland,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms029,Marcos Giron,gc88,,Federico Coria,ce77,LL,Marcos Giron,gc88,6;6;7,7;4;5
2023-301,Auckland,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms025,Quentin Halys,hb64,,Alex Molcan,mv14,,Quentin Halys,hb64,6;6,3;4
2023-301,Auckland,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms030,Jiri Lehecka,l0bv,Q,Thiago Monteiro,mj08,Q,Jiri Lehecka,l0bv,6;7,3;5
2023-301,Auckland,ATP 250,2023,Round of 32 -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/ms018,Constant Lestienne,lb66,,Pedro Cachin,cg04,,Constant Lestienne,lb66,6;6,3;1
2023-301,Auckland,ATP 250,2023,Round of 32 -,,Joao Sousa,sh90,LL,Bye,0,,Joao Sousa,sh90,,
2023-301,Auckland,ATP 250,2023,2nd Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/qs004,Thiago Monteiro,mj08,1,Ajeet Rai,r0dc,WC,Thiago Monteiro,mj08,6;6;6,7;3;4
2023-301,Auckland,ATP 250,2023,2nd Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/qs005,Gregoire Barrere,bk24,7,Federico Coria,ce77,2,Gregoire Barrere,bk24,6;7,3;5
2023-301,Auckland,ATP 250,2023,2nd Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/qs007,Jiri Lehecka,l0bv,4,Facundo Bagnis,bf23,6,Jiri Lehecka,l0bv,6;3;6,2;6;1
2023-301,Auckland,ATP 250,2023,2nd Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/qs006,Christopher Eubanks,e865,,Joao Sousa,sh90,5,Christopher Eubanks,e865,6;7;6,7;5;4
2023-301,Auckland,ATP 250,2023,1st Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/qs008,Thiago Monteiro,mj08,1,Daniel Altmaier,ae14,,Thiago Monteiro,mj08,3;7;7,6;5;6
2023-301,Auckland,ATP 250,2023,1st Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/qs010,Federico Coria,ce77,2,Luca Van Assche,v0dz,,Federico Coria,ce77,3;6;6,6;4;2
2023-301,Auckland,ATP 250,2023,1st Round Qualifying -,https://www.atptour.com/en/scores/stats-centre/archive/2023/301/qs012,Christopher Eubanks,e865,,Dusan Lajovic,l987,3,Christopher Eubanks,e865,2;6;6,6;3;4
