match_id,file,t60_prob,outcome,mins_before,brier,is_challenger
KXATPCHALLENGERMATCH-26FEB05MOLADD,KXATPCHALLENGERMATCH-26FEB05MOLADD-ADD_candles.csv,0.81,1,60.0,0.03609999999999998,True
KXATPCHALLENGERMATCH-26FEB05SAKSCH,KXATPCHALLENGERMATCH-26FEB05SAKSCH-SAK_candles.csv,0.3,0,60.0,0.09,True
KXATPCHALLENGERMATCH-26FEB05UGODIA,KXATPCHALLENGERMATCH-26FEB05UGODIA-DIA_candles.csv,0.35,0,60.0,0.12249999999999998,True
KXATPCHALLENGERMATCH-26FEB06BURBOS,KXATPCHALLENGERMATCH-26FEB06BURBOS-BOS_candles.csv,0.08,0,60.0,0.0064,True
KXATPCHALLENGERMATCH-26FEB06DOSSMI,KXATPCHALLENGERMATCH-26FEB06DOSSMI-DOS_candles.csv,0.23,0,60.0,0.0529,True
KXATPCHALLENGERMATCH-26FEB06ELLSCH,KXATPCHALLENGERMATCH-26FEB06ELLSCH-ELL_candles.csv,0.13,0,60.0,0.016900000000000002,True
KXATPCHALLENGERMATCH-26FEB06MILSHE,KXATPCHALLENGERMATCH-26FEB06MILSHE-MIL_candles.csv,0.62,0,60.0,0.3844,True
KXATPCHALLENGERMATCH-26FEB06UGODEL,KXATPCHALLENGERMATCH-26FEB06UGODEL-UGO_candles.csv,0.86,1,60.0,0.019600000000000003,True
KXATPCHALLENGERMATCH-26FEB07SWESCH,KXATPCHALLENGERMATCH-26FEB07SWESCH-SCH_candles.csv,0.6,0,60.0,0.36,True
KXATPCHALLENGERMATCH-26FEB08BASJON,KXATPCHALLENGERMATCH-26FEB08BASJON-BAS_candles.csv,0.41,0,60.0,0.16809999999999997,True
KXATPCHALLENGERMATCH-26FEB08BLADEN,KXATPCHALLENGERMATCH-26FEB08BLADEN-BLA_candles.csv,0.6,1,60.0,0.16000000000000003,True
KXATPCHALLENGERMATCH-26FEB08DERBAL,KXATPCHALLENGERMATCH-26FEB08DERBAL-BAL_candles.csv,0.83,1,60.0,0.028900000000000012,True
KXATPCHALLENGERMATCH-26FEB08FAUBER,KXATPCHALLENGERMATCH-26FEB08FAUBER-FAU_candles.csv,0.48,0,60.0,0.2304,True
KXATPCHALLENGERMATCH-26FEB08GEOZHU,KXATPCHALLENGERMATCH-26FEB08GEOZHU-GEO_candles.csv,0.38,1,60.0,0.3844,True
KXATPCHALLENGERMATCH-26FEB08JASSHI,KXATPCHALLENGERMATCH-26FEB08JASSHI-JAS_candles.csv,0.68,1,60.0,0.10239999999999996,True
KXATPCHALLENGERMATCH-26FEB08LEOJAI,KXATPCHALLENGERMATCH-26FEB08LEOJAI-JAI_candles.csv,0.3,0,60.0,0.09,True
KXATPCHALLENGERMATCH-26FEB08LOMGAN,KXATPCHALLENGERMATCH-26FEB08LOMGAN-LOM_candles.csv,0.59,0,60.0,0.34809999999999997,True
KXATPCHALLENGERMATCH-26FEB08MOCHUL,KXATPCHALLENGERMATCH-26FEB08MOCHUL-HUL_candles.csv,0.65,0,60.0,0.42250000000000004,True
KXATPCHALLENGERMATCH-26FEB08UGOBUR,KXATPCHALLENGERMATCH-26FEB08UGOBUR-UGO_candles.csv,0.82,1,60.0,0.03240000000000002,True
KXATPCHALLENGERMATCH-26FEB08WEBJOR,KXATPCHALLENGERMATCH-26FEB08WEBJOR-JOR_candles.csv,0.48,0,60.0,0.2304,True
KXATPCHALLENGERMATCH-26FEB09CORMAR,KXATPCHALLENGERMATCH-26FEB09CORMAR-COR_candles.csv,0.75,1,60.0,0.0625,True
KXATPCHALLENGERMATCH-26FEB09ELLSUN,KXATPCHALLENGERMATCH-26FEB09ELLSUN-ELL_candles.csv,0.53,1,60.0,0.22089999999999999,True
KXATPCHALLENGERMATCH-26FEB09GANLAK,KXATPCHALLENGERMATCH-26FEB09GANLAK-GAN_candles.csv,0.68,0,60.0,0.4624000000000001,True
KXATPCHALLENGERMATCH-26FEB09GOFZEP,KXATPCHALLENGERMATCH-26FEB09GOFZEP-GOF_candles.csv,0.12,0,60.0,0.0144,True
KXATPCHALLENGERMATCH-26FEB09KOHSCH,KXATPCHALLENGERMATCH-26FEB09KOHSCH-SCH_candles.csv,0.45,1,60.0,0.30250000000000005,True
KXATPCHALLENGERMATCH-26FEB09KYMNAR,KXATPCHALLENGERMATCH-26FEB09KYMNAR-NAR_candles.csv,0.94,1,60.0,0.0036000000000000064,True
KXATPCHALLENGERMATCH-26FEB09LANJOH,KXATPCHALLENGERMATCH-26FEB09LANJOH-JOH_candles.csv,0.58,0,60.0,0.3364,True
KXATPCHALLENGERMATCH-26FEB09SINCRA,KXATPCHALLENGERMATCH-26FEB09SINCRA-CRA_candles.csv,0.36,1,60.0,0.4096,True
KXATPCHALLENGERMATCH-26FEB09SINHUL,KXATPCHALLENGERMATCH-26FEB09SINHUL-HUL_candles.csv,0.66,0,60.0,0.43560000000000004,True
KXATPCHALLENGERMATCH-26FEB09TULNAK,KXATPCHALLENGERMATCH-26FEB09TULNAK-NAK_candles.csv,0.44,0,60.0,0.1936,True
KXATPCHALLENGERMATCH-26FEB09ZHOSAT,KXATPCHALLENGERMATCH-26FEB09ZHOSAT-SAT_candles.csv,0.22,1,60.0,0.6084,True
KXATPCHALLENGERMATCH-26FEB10BOUSKA,KXATPCHALLENGERMATCH-26FEB10BOUSKA-BOU_candles.csv,0.65,1,60.0,0.12249999999999998,True
KXATPCHALLENGERMATCH-26FEB10CLAXIL,KXATPCHALLENGERMATCH-26FEB10CLAXIL-CLA_candles.csv,0.38,0,60.0,0.1444,True
KXATPCHALLENGERMATCH-26FEB10FISSHI,KXATPCHALLENGERMATCH-26FEB10FISSHI-FIS_candles.csv,0.49,0,60.0,0.24009999999999998,True
KXATPCHALLENGERMATCH-26FEB10LAKKAS,KXATPCHALLENGERMATCH-26FEB10LAKKAS-LAK_candles.csv,0.15,0,60.0,0.0225,True
KXATPCHALLENGERMATCH-26FEB10LANPRI,KXATPCHALLENGERMATCH-26FEB10LANPRI-PRI_candles.csv,0.4,0,60.0,0.16000000000000003,True
KXATPCHALLENGERMATCH-26FEB10TRASHE,KXATPCHALLENGERMATCH-26FEB10TRASHE-TRA_candles.csv,0.73,1,60.0,0.0729,True
KXATPCHALLENGERMATCH-26FEB11BONKUK,KXATPCHALLENGERMATCH-26FEB11BONKUK-BON_candles.csv,0.62,1,60.0,0.1444,True
KXATPCHALLENGERMATCH-26FEB11BOUNAR,KXATPCHALLENGERMATCH-26FEB11BOUNAR-BOU_candles.csv,0.27,1,60.0,0.5328999999999999,True
KXATPCHALLENGERMATCH-26FEB11CARGOM,KXATPCHALLENGERMATCH-26FEB11CARGOM-GOM_candles.csv,0.69,1,60.0,0.09610000000000003,True
KXATPCHALLENGERMATCH-26FEB11CASCRA,KXATPCHALLENGERMATCH-26FEB11CASCRA-CAS_candles.csv,0.15,1,60.0,0.7224999999999999,True
KXATPCHALLENGERMATCH-26FEB11PIEVAN,KXATPCHALLENGERMATCH-26FEB11PIEVAN-PIE_candles.csv,0.72,1,60.0,0.07840000000000001,True
KXATPCHALLENGERMATCH-26FEB11YEVMUK,KXATPCHALLENGERMATCH-26FEB11YEVMUK-MUK_candles.csv,0.46,0,60.0,0.2116,True
KXATPCHALLENGERMATCH-26FEB11ZEPSQU,KXATPCHALLENGERMATCH-26FEB11ZEPSQU-SQU_candles.csv,0.2,1,60.0,0.6400000000000001,True
KXATPCHALLENGERMATCH-26FEB12AJDFER,KXATPCHALLENGERMATCH-26FEB12AJDFER-AJD_candles.csv,0.34,0,60.0,0.11560000000000002,True
KXATPCHALLENGERMATCH-26FEB12BLABOL,KXATPCHALLENGERMATCH-26FEB12BLABOL-BOL_candles.csv,0.25,1,60.0,0.5625,True
KXATPCHALLENGERMATCH-26FEB12COLDAM,KXATPCHALLENGERMATCH-26FEB12COLDAM-COL_candles.csv,0.53,1,60.0,0.22089999999999999,True
KXATPCHALLENGERMATCH-26FEB12GLISHE,KXATPCHALLENGERMATCH-26FEB12GLISHE-GLI_candles.csv,0.33,0,60.0,0.10890000000000001,True
KXATPCHALLENGERMATCH-26FEB12KOLVAN,KXATPCHALLENGERMATCH-26FEB12KOLVAN-KOL_candles.csv,0.29,0,60.0,0.0841,True
