match_id,p1_won_set1,p1_prob,outcome,brier
9967,False,0.1872,0,0.03504384
9968,True,0.9956,1,1.9359999999999645e-05
9969,True,0.9968,1,1.0239999999999877e-05
9971,False,0.1964,1,0.64577296
9973,False,0.0086,1,0.9828739599999999
9977,False,0.0212,0,0.00044944
9978,True,1.0,1,0.0
9979,True,0.9994,0,0.9988003599999999
9980,False,0.0,0,0.0
9981,True,0.8928,0,0.7970918400000001
9982,False,0.0302,1,0.94051204
9983,True,0.9982,1,3.240000000000086e-06
9984,True,0.9982,0,0.9964032399999999
9985,False,0.0018,0,3.24e-06
9987,False,0.1778,1,0.6760128400000001
9988,True,0.9226,0,0.8511907599999999
9989,False,0.0428,0,0.0018318399999999997
9990,False,0.2006,0,0.04024036
9992,True,0.9998,1,3.9999999999991186e-08
9993,False,0.0,0,0.0
9994,False,0.2486,0,0.061801959999999996
9995,False,0.0102,0,0.00010404000000000001
9996,False,0.0116,0,0.00013455999999999999
9997,False,0.2624,0,0.06885376000000001
9998,True,0.977,1,0.0005290000000000009
10000,False,0.0,1,1.0
10001,False,0.0034,0,1.156e-05
10003,True,0.9994,1,3.6000000000005394e-07
10005,True,0.995,1,2.5000000000000045e-05
10009,True,1.0,1,0.0
10010,True,0.8904,1,0.012012160000000006
10012,True,0.9872,1,0.00016384000000000087
10014,False,0.438,0,0.191844
10015,False,0.0748,0,0.005595040000000001
10016,True,0.99,1,0.00010000000000000018
10019,True,0.9832,0,0.9666822399999999
10022,False,0.1034,0,0.010691560000000001
10024,True,0.867,1,0.017689000000000003
10026,True,0.9732,1,0.0007182400000000025
10027,False,0.0076,0,5.776e-05
10031,False,0.2988,1,0.4916814400000001
10032,True,0.7608,1,0.057216639999999985
10033,False,0.1158,0,0.01340964
10034,False,0.0002,0,4e-08
10035,False,0.0,0,0.0
10037,False,0.1328,0,0.01763584
10038,False,0.1236,0,0.015276960000000001
10039,True,0.9582,1,0.0017472399999999956
10040,False,0.0,0,0.0
10043,False,0.0314,0,0.00098596
10045,False,0.0254,1,0.9498451600000001
10046,False,0.0096,0,9.215999999999998e-05
10047,False,0.129,0,0.016641
10048,True,0.9662,1,0.0011424400000000035
10050,False,0.0264,0,0.0006969599999999999
10054,True,0.859,1,0.019881000000000003
10055,True,0.971,1,0.0008410000000000015
10056,True,0.8578,1,0.020220839999999997
10057,False,0.1082,0,0.01170724
10058,True,0.8544,1,0.021199359999999987
10059,True,1.0,1,0.0
10060,True,0.9732,1,0.0007182400000000025
10061,True,0.9702,1,0.0008880400000000029
10062,True,0.9996,1,1.5999999999996475e-07
10063,True,0.9242,1,0.005745639999999997
10064,False,0.0562,0,0.00315844
10065,False,0.0446,0,0.0019891600000000002
10066,False,0.0572,1,0.88887184
10067,True,0.971,1,0.0008410000000000015
10068,False,0.0746,0,0.0055651599999999996
10070,True,1.0,1,0.0
10071,False,0.5054,1,0.24462916000000004
10073,True,0.8506,1,0.022320359999999994
10077,True,0.998,1,4.0000000000000074e-06
